Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Rimeshield Frost Giant,AFR,Adventures in the Forgotten Realms,310,normal,common,1,60493,ed6f1fc7-be88-46a3-8bd9-3f16332c2bd8,de,29.03.2025
Hired Hexblade,AFR,Adventures in the Forgotten Realms,109,normal,common,1,60418,c23cbf01-90d0-4962-92d5-5e1566e8ef4b,de,29.03.2025
Hoard Robber,AFR,Adventures in the Forgotten Realms,110,normal,common,1,60393,b723d9cd-05f5-4894-9f2b-52a434a3019c,de,29.03.2025
Thieves' Tools,CLB,Commander Legends: Battle for Baldur's Gate,152,normal,common,1,69276,c3bf4ee1-b6a8-4a69-adab-6839c1786cc9,de,29.03.2025
Temple of the Dragon Queen,AFR,Adventures in the Forgotten Realms,260,normal,uncommon,1,60150,0c79b3c6-ccbe-48ae-a1f7-ddfd37ecdbf5,de,29.03.2025
Dragon's Disciple,AFR,Adventures in the Forgotten Realms,13,normal,uncommon,1,60351,9e5e6b78-3e99-49f5-9eaf-bbb2e9789fbe,de,29.03.2025
White Dragon,AFR,Adventures in the Forgotten Realms,41,normal,uncommon,1,60177,21e290c4-6c94-472a-9dec-6994aade29c2,de,29.03.2025
Neverwinter Dryad,AFR,Adventures in the Forgotten Realms,195,normal,common,1,60480,e64d7cc7-bbdd-4db3-906e-a2f7672e0f67,de,29.03.2025
"Lolth, Spider Queen",AFR,Adventures in the Forgotten Realms,112,normal,mythic,1,60220,420a5689-d73e-4dda-82fd-8b8897ff5b55,de,29.03.2025
Plummet,AFR,Adventures in the Forgotten Realms,199,normal,common,1,60234,4be85ceb-be98-43ce-9565-a72990797437,de,29.03.2025
Krydle of Baldur's Gate,AFR,Adventures in the Forgotten Realms,343,normal,uncommon,1,60385,b3f77be2-2333-4b3a-9954-15f4de7a61c0,de,29.03.2025
Scaled Herbalist,AFR,Adventures in the Forgotten Realms,204,normal,common,1,60274,6cb05274-5a94-44e3-889a-667cba1da033,de,29.03.2025
Bulette,AFR,Adventures in the Forgotten Realms,173,normal,common,1,60174,206a9e7b-45c1-4213-8fc4-27d90e2ab0e9,de,29.03.2025
Compelled Duel,AFR,Adventures in the Forgotten Realms,178,normal,common,1,60187,2a7e501d-943e-4e6d-9d8e-6bedc32a0dd8,de,29.03.2025
Ray of Frost,AFR,Adventures in the Forgotten Realms,68,normal,uncommon,1,60308,7edd5058-a964-4288-937b-84df6e9ba7c4,de,29.03.2025
Dungeon Map,AFR,Adventures in the Forgotten Realms,242,normal,uncommon,1,60128,028506ad-ad36-44e5-b488-d038e2d2445f,de,29.03.2025
Clattering Skeletons,AFR,Adventures in the Forgotten Realms,93,normal,common,1,60144,09ac0b2b-d4d3-4977-b241-7788239362de,de,29.03.2025
Wizard's Spellbook,AFR,Adventures in the Forgotten Realms,82,normal,rare,1,60392,b6ed0a4c-0234-4341-8dcb-5eea6a9632e7,de,29.03.2025
Wight,AFR,Adventures in the Forgotten Realms,127,normal,rare,1,60508,f62abe9c-7599-433b-a964-10d6641f3586,de,29.03.2025
Yuan-Ti Fang-Blade,AFR,Adventures in the Forgotten Realms,128,normal,common,1,60366,a7e0e09c-ed43-4a37-85f2-c60bdfdb2624,de,29.03.2025
Red Dragon,AFR,Adventures in the Forgotten Realms,160,normal,uncommon,2,60306,7cf57369-b8e2-481c-89d4-c83c617499a3,de,29.03.2025
Mimic,AFR,Adventures in the Forgotten Realms,349,normal,common,1,60380,b059c316-2be1-4f66-9888-d31714280a5e,en,30.08.2025
Shortcut Seeker,AFR,Adventures in the Forgotten Realms,73,normal,common,1,60159,122d2635-c4f4-44cd-8f82-37e3016e421e,en,30.08.2025
Charmed Sleep,AFR,Adventures in the Forgotten Realms,50,normal,common,1,60221,4238ad00-af9c-4535-a589-c5afb0d2ec57,en,30.08.2025
Krydle of Baldur's Gate,AFR,Adventures in the Forgotten Realms,226,normal,uncommon,1,60292,75f4d622-2d50-4e6e-87a5-5a1cc65d6919,en,30.08.2025
Check for Traps,AFR,Adventures in the Forgotten Realms,92,normal,uncommon,1,60279,6f58ea8a-30ac-45b0-a701-8b8d8262cfcf,en,30.08.2025
Soulknife Spy,AFR,Adventures in the Forgotten Realms,75,normal,common,1,60133,045c7c23-d418-42f0-b497-50c39e5321ad,en,30.08.2025
Split the Party,AFR,Adventures in the Forgotten Realms,76,normal,uncommon,1,60291,743a0a96-f90a-4852-9a92-848795518e0a,en,30.08.2025
Ranger's Longbow,AFR,Adventures in the Forgotten Realms,203,normal,common,1,60203,34c99b32-353c-4930-a6ee-3fb44cf70253,en,30.08.2025
Moon-Blessed Cleric,AFR,Adventures in the Forgotten Realms,26,normal,uncommon,1,60189,2b7fea79-9600-41d2-84d2-34a61a08a0d4,en,30.08.2025
Blink Dog,AFR,Adventures in the Forgotten Realms,300,normal,uncommon,1,60235,4fcf1082-25ac-4537-9fd9-631f834097ad,en,30.08.2025
You're Ambushed on the Road,AFR,Adventures in the Forgotten Realms,43,normal,common,1,60287,726da84a-fdd4-46df-8ba4-f94d582bcce4,en,30.08.2025
The Book of Exalted Deeds,AFR,Adventures in the Forgotten Realms,4,normal,mythic,1,60359,a1899bb1-dd8e-4437-8ea3-4ad637eabf2b,en,30.08.2025
Neverwinter Dryad,AFR,Adventures in the Forgotten Realms,195,normal,common,1,60480,e64d7cc7-bbdd-4db3-906e-a2f7672e0f67,en,30.08.2025
Scaled Herbalist,AFR,Adventures in the Forgotten Realms,204,normal,common,1,60274,6cb05274-5a94-44e3-889a-667cba1da033,en,30.08.2025
Bulette,AFR,Adventures in the Forgotten Realms,173,normal,common,1,60174,206a9e7b-45c1-4213-8fc4-27d90e2ab0e9,en,30.08.2025
Portable Hole,AFR,Adventures in the Forgotten Realms,33,normal,uncommon,1,58992,80fca8c0-ae3e-439e-b202-228b9f360e9a,en,30.08.2025
Bag of Holding,CLB,Commander Legends: Battle for Baldur's Gate,299,normal,uncommon,1,68931,290f4b4f-4f48-4031-b62a-91a0d6716ddd,en,30.08.2025
Rust Monster,AFR,Adventures in the Forgotten Realms,161,normal,uncommon,1,60270,6a7c6b2c-9ba0-4fc1-9922-0988acf2dfde,en,30.08.2025
Pixie Guide,AFR,Adventures in the Forgotten Realms,66,normal,common,1,60429,c65631b9-ca62-4851-9eca-9c760fb1a177,en,30.08.2025
Tasha's Hideous Laughter,AFR,Adventures in the Forgotten Realms,78,normal,rare,1,60424,c4932113-904f-427a-9566-509cc008f3ef,en,30.08.2025
Eye of Vecna,AFR,Adventures in the Forgotten Realms,243,normal,rare,1,60398,b91e2431-500e-441a-881d-094ebef62283,en,30.08.2025
Hoard Robber,AFR,Adventures in the Forgotten Realms,110,normal,common,1,60393,b723d9cd-05f5-4894-9f2b-52a434a3019c,en,30.08.2025
Pixie Guide,AFR,Adventures in the Forgotten Realms,309,normal,common,1,60253,5c2074a9-8b6f-4904-bb8c-ae705d31f2f1,en,30.08.2025
Jaded Sell-Sword,AFR,Adventures in the Forgotten Realms,152,normal,common,1,60526,ff5219c0-fb43-47b1-b682-131ba7c70990,en,30.08.2025
Thieves' Tools,CLB,Commander Legends: Battle for Baldur's Gate,152,normal,common,1,69276,c3bf4ee1-b6a8-4a69-adab-6839c1786cc9,en,30.08.2025
Yuan-Ti Fang-Blade,AFR,Adventures in the Forgotten Realms,128,normal,common,1,60366,a7e0e09c-ed43-4a37-85f2-c60bdfdb2624,en,30.08.2025
Red Dragon,AFR,Adventures in the Forgotten Realms,160,normal,uncommon,1,60306,7cf57369-b8e2-481c-89d4-c83c617499a3,en,30.08.2025
Demogorgon's Clutches,AFR,Adventures in the Forgotten Realms,96,normal,uncommon,1,60244,581e7ac6-65e5-4a16-ab0b-0988c3a3cfea,en,30.08.2025
Purple Worm,AFR,Adventures in the Forgotten Realms,201,normal,uncommon,1,60475,e419d58b-6241-4892-9080-f6894ac7ba89,en,30.08.2025
Dungeon Map,AFR,Adventures in the Forgotten Realms,242,normal,uncommon,1,60128,028506ad-ad36-44e5-b488-d038e2d2445f,en,30.08.2025
"Farideh, Devil's Chosen",AFR,Adventures in the Forgotten Realms,221,normal,uncommon,1,60167,1b2ff142-029b-4446-960a-2ff200fb9aee,en,30.08.2025
Bard Class,AFR,Adventures in the Forgotten Realms,217,normal,rare,1,60208,37d6343a-c514-4ca6-a415-62d1a473ae20,en,30.08.2025
Burning Hands,AFR,Adventures in the Forgotten Realms,135,normal,uncommon,1,60263,66e2d723-3fa0-4411-8f98-e4e6b3a5e6df,en,30.08.2025
Faerie Dragon,TCLB,Battle for Baldur's Gate Tokens,6,normal,common,1,69558,6f1eb498-8496-4234-8e87-78dc3f647534,en,30.08.2025
The Atropal,TAFR,Adventures in the Forgotten Realms Tokens,5,normal,common,1,60743,65f8e40f-fb5e-4ab8-add3-a8b87e7bcdd9,en,30.08.2025
Wolf,TAFR,Adventures in the Forgotten Realms Tokens,14,normal,common,1,60631,1864d5b9-7151-42f0-8d37-8c319c3ab264,en,30.08.2025
Dire Wolf Prowler,AFR,Adventures in the Forgotten Realms,325,normal,common,1,60294,7669e373-0173-43db-8b86-abc319c9e8fc,en,05.09.2025
Gloom Stalker,AFR,Adventures in the Forgotten Realms,16,normal,common,1,60209,388722ad-dcc6-41b9-afd8-a93be91b30e0,en,05.09.2025
Veteran Dungeoneer,AFR,Adventures in the Forgotten Realms,40,normal,common,1,60458,d8fe33b3-afaf-4a98-ae64-7d7e0eabe993,en,05.09.2025
Green Dragon,AFR,Adventures in the Forgotten Realms,186,normal,uncommon,1,60222,45804134-cc04-4587-9674-2c884964083d,en,05.09.2025
Wandering Troubadour,AFR,Adventures in the Forgotten Realms,210,normal,uncommon,1,60449,d3c7f123-31c8-469b-85e5-d20c4d21b2a0,en,05.09.2025
Secret Door,AFR,Adventures in the Forgotten Realms,71,normal,common,1,60197,3191e400-aa4e-4955-aca0-ecbe63ea240f,en,05.09.2025
Temple of the Dragon Queen,AFR,Adventures in the Forgotten Realms,260,normal,uncommon,1,60150,0c79b3c6-ccbe-48ae-a1f7-ddfd37ecdbf5,en,05.09.2025
Feywild Trickster,AFR,Adventures in the Forgotten Realms,58,normal,uncommon,1,60435,c93e0296-69e0-45e0-a1c2-0214a53c52d0,en,05.09.2025
Lurking Roper,AFR,Adventures in the Forgotten Realms,194,normal,uncommon,1,60191,2cce25d7-3f22-48ce-9428-184e661696b9,en,05.09.2025
Bulette,AFR,Adventures in the Forgotten Realms,324,normal,common,1,60230,4a76c993-7cc5-428f-bfbc-7747c6a566d0,en,05.09.2025
Dawnbringer Cleric,CLB,Commander Legends: Battle for Baldur's Gate,15,normal,common,1,68903,201f06ef-c180-4ce3-afaf-bec3b14c0222,en,05.09.2025
Xorn,AFR,Adventures in the Forgotten Realms,167,normal,rare,1,60511,f73fdf76-e3a6-49d0-bfb0-4b7cdbd4271e,en,05.09.2025
Planar Ally,AFR,Adventures in the Forgotten Realms,31,normal,common,1,60369,a9e7457a-8ab4-4f3c-a2d8-2da4d81b7470,en,05.09.2025
Ranger's Hawk,AFR,Adventures in the Forgotten Realms,37,normal,common,1,60349,9d7a7744-e49d-4b4e-b6ae-7fc6d2892cef,en,05.09.2025
Delver's Torch,AFR,Adventures in the Forgotten Realms,10,normal,common,1,60237,53df7b80-71bf-4013-ad44-f76eae8ac81b,en,05.09.2025
Moon-Blessed Cleric,AFR,Adventures in the Forgotten Realms,26,normal,uncommon,1,60189,2b7fea79-9600-41d2-84d2-34a61a08a0d4,en,05.09.2025
Demogorgon's Clutches,AFR,Adventures in the Forgotten Realms,96,normal,uncommon,1,60244,581e7ac6-65e5-4a16-ab0b-0988c3a3cfea,en,05.09.2025
Divine Smite,AFR,Adventures in the Forgotten Realms,12,normal,uncommon,1,60272,6b8d0852-4df3-4b29-830d-c6975265ef53,en,05.09.2025
Brazen Dwarf,AFR,Adventures in the Forgotten Realms,134,normal,common,1,60205,3658e65b-df54-4327-9104-c2f3dd65df85,en,05.09.2025
You Come to a River,AFR,Adventures in the Forgotten Realms,83,normal,common,1,60490,ebf9bab7-98a0-4394-90c0-e7c52e14eb37,en,05.09.2025
Gelatinous Cube,AFR,Adventures in the Forgotten Realms,105,normal,rare,1,60168,1c472e70-300c-4881-86e7-c5ca690ab9b6,en,05.09.2025
Bull's Strength,AFR,Adventures in the Forgotten Realms,174,normal,common,1,60143,092cab70-c771-4c96-a5ce-22f2e32e3ea8,en,05.09.2025
Primal Vigor,C13,Commander 2013,162,normal,rare,1,15224,dafea0d1-6986-46b3-affc-1337ef564947,en,05.09.2025
Spider,TAFR,Adventures in the Forgotten Realms Tokens,7,normal,common,1,60624,124e0b03-d9fb-44f1-9e3c-3462aabdd42e,en,05.09.2025
