Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Might of the Meek,BLB,Bloomburrow,144,normal,common,1,95627,509bf254-8a2b-4dfa-9ae5-386321b35e8b,de,27.03.2025
Pearl of Wisdom,BLB,Bloomburrow,64,normal,common,1,95625,13cb9575-1138-4f99-8e90-0eaf00bdf4a1,de,27.03.2025
Crumb and Get It,BLB,Bloomburrow,8,normal,common,1,96259,3c7b3b25-d4b3-4451-9f5c-6eb369541175,de,27.03.2025
Diresight,BLB,Bloomburrow,91,normal,common,1,95985,fada29c0-5293-40a4-b36d-d073ee99e650,de,27.03.2025
Mind Drill Assailant,BLB,Bloomburrow,225,normal,common,1,95783,507ba708-ca9b-453e-b4c2-23b6650eb5a8,de,27.03.2025
High Stride,BLB,Bloomburrow,176,normal,common,1,96153,09c8cf4b-8e65-4a1c-b458-28b5ab56b390,de,27.03.2025
Persistent Marshstalker,BLB,Bloomburrow,104,normal,uncommon,1,95947,8b900c71-713b-4b7e-b4be-ad9f4aa0c139,de,27.03.2025
Heirloom Epic,BLB,Bloomburrow,246,normal,uncommon,1,96061,7839ce48-0175-494a-ab89-9bdfb7a50cb1,de,27.03.2025
Plumecreed Mentor,BLB,Bloomburrow,228,normal,uncommon,1,95819,b1aa988f-547e-449a-9f1a-296c01d68d96,de,27.03.2025
Stormchaser's Talent,BLB,Bloomburrow,75,normal,rare,1,96092,a36e682d-b43d-4e08-bf5b-70d7e924dbe5,de,27.03.2025
Whiskerquill Scribe,BLB,Bloomburrow,161,normal,common,1,96124,da653996-9bd4-40bd-afb4-48c7e070a269,de,27.03.2025
Run Away Together,BLB,Bloomburrow,67,normal,common,1,95799,7cb7ec70-a5a4-4188-ba1a-e88b81bdbad0,de,27.03.2025
Intrepid Rabbit,BLB,Bloomburrow,17,normal,common,1,96276,4d70b99d-c8bf-4a56-8957-cf587fe60b81,de,27.03.2025
Fountainport Bell,BLB,Bloomburrow,245,normal,common,1,96094,a5c94bc0-a49d-451b-8e8d-64d46b8b8603,de,27.03.2025
Moonrise Cleric,BLB,Bloomburrow,226,normal,common,1,95767,35f2a71f-31e8-4b51-9dd4-51a5336b3b86,de,27.03.2025
Builder's Talent,BLB,Bloomburrow,5,normal,uncommon,1,96002,15fa581a-724e-4196-a9a3-ff84c54bdb7d,de,27.03.2025
Patchwork Banner,BLB,Bloomburrow,247,normal,uncommon,1,96097,a8a982c8-bc08-44ba-b3ed-9e4b124615d6,de,27.03.2025
Long River Lurker,BLB,Bloomburrow,57,normal,uncommon,1,95941,7c267719-cd03-4003-b281-e732d5e42a1e,de,27.03.2025
Daring Waverider,BLB,Bloomburrow,44,normal,uncommon,1,95896,19422406-0c1a-497e-bed1-708bc556491a,de,27.03.2025
Scrapshooter,BLB,Bloomburrow,191,normal,rare,1,96113,c42ab407-e72d-4c48-9a9e-2055b5e71c69,de,27.03.2025
Treasure,TBLB,Bloomburrow Tokens,29,normal,common,1,96541,ff0357fb-d90c-49c7-b16a-8b52ac686c3b,de,27.03.2025
Squirrel,TBLB,Bloomburrow Tokens,23,normal,common,1,96298,5a6ec62e-0e9b-4312-bfe8-cc85d76fd9e0,de,27.03.2025
Psychic Whorl,BLB,Bloomburrow,105,normal,common,2,96127,df900308-8432-4a0a-be21-17482026012b,de,27.03.2025
Treetop Sentries,BLB,Bloomburrow,201,normal,common,2,95974,e16d4d6e-1fe5-4ff6-9877-8c849a24f5e0,de,27.03.2025
Frilled Sparkshooter,BLB,Bloomburrow,136,normal,common,2,95934,674bbd6d-e329-42cf-963d-88d1ce8fe51e,de,27.03.2025
Daggerfang Duo,BLB,Bloomburrow,89,normal,common,1,96468,cea2bb34-e328-44fb-918a-72208c9457e4,de,29.03.2025
Bakersbane Duo,BLB,Bloomburrow,163,normal,common,1,96035,5309354f-1ff4-4fa9-9141-01ea2f7588ab,de,29.03.2025
Conduct Electricity,BLB,Bloomburrow,130,normal,common,1,95906,2f373dd6-2412-453c-85ba-10230dfe473a,de,29.03.2025
Shore Up,BLB,Bloomburrow,69,normal,common,1,96277,4dc3b49e-3674-494c-bdea-4374cefd10f4,de,29.03.2025
Carrot Cake,BLB,Bloomburrow,7,normal,common,1,95636,eb03bb4f-8b4b-417e-bfc6-294cd2186b2e,de,29.03.2025
Uncharted Haven,FDN,Foundations,564,normal,common,1,97170,172cd5b7-98fc-4add-b858-a0b3dfb75c19,de,29.03.2025
Three Tree Mascot,FDN,Foundations,682,normal,common,1,100412,40b8bf3a-1cb5-4ce2-ac25-9410f17130de,de,29.03.2025
Ruthless Negotiation,BLB,Bloomburrow,108,normal,uncommon,1,95828,c7f4360c-8d68-4058-b9ec-da9948cb060d,de,29.03.2025
Mudflat Village,BLB,Bloomburrow,257,normal,uncommon,1,95628,53ec4ad3-9cf0-4f1b-a9db-d63feee594ab,de,29.03.2025
Hazardroot Herbalist,BLB,Bloomburrow,174,normal,uncommon,1,96130,e2882982-b3a3-4762-a550-6b82db1038e8,de,29.03.2025
Oakhollow Village,BLB,Bloomburrow,258,normal,uncommon,1,95624,0d49b016-b02b-459f-85e9-c04f6bdcb94e,de,29.03.2025
"Vren, the Relentless",BLB,Bloomburrow,239,normal,rare,1,95930,6506277d-f031-4db5-9d16-bf2389094785,de,29.03.2025
Cindering Cutthroat,BLB,Bloomburrow,208,normal,common,1,95820,b2ea10dd-21ea-4622-be27-79d03a802b85,de,29.03.2025
Flowerfoot Swordmaster,TBLB,Bloomburrow Tokens,1,normal,common,1,95764,31c977b7-12cb-4e6f-8260-a7399b60940f,de,29.03.2025
Whiskerquill Scribe,BLB,Bloomburrow,161,normal,common,1,96124,da653996-9bd4-40bd-afb4-48c7e070a269,de,05.09.2025
Dire Downdraft,BLB,Bloomburrow,46,normal,common,1,96526,f1931f22-974c-43ad-911e-684bf3f9995d,de,05.09.2025
Lifecreed Duo,BLB,Bloomburrow,20,normal,common,1,95968,ca543405-5e12-48a0-9a77-082ac9bcb2f2,de,05.09.2025
Agate-Blade Assassin,BLB,Bloomburrow,82,normal,common,1,96017,39ebb84a-1c52-4b07-9bd0-b360523b3a5b,de,05.09.2025
Treetop Sentries,BLB,Bloomburrow,201,normal,common,1,95974,e16d4d6e-1fe5-4ff6-9877-8c849a24f5e0,de,05.09.2025
Cindering Cutthroat,BLB,Bloomburrow,208,normal,common,1,95820,b2ea10dd-21ea-4622-be27-79d03a802b85,de,05.09.2025
Barkform Harvester,BLB,Bloomburrow,243,normal,common,1,95984,f77049a6-0f22-415b-bc89-20bcb32accf6,de,05.09.2025
Feather of Flight,BLB,Bloomburrow,13,normal,uncommon,1,95956,9fb41503-8632-4bf1-9bfe-6d9b9993c337,de,05.09.2025
Gossip's Talent,BLB,Bloomburrow,51,normal,uncommon,1,95961,b299889a-03d6-4659-b0e1-f0830842e40f,de,05.09.2025
Essence Channeler,BLB,Bloomburrow,12,normal,rare,1,96042,5aaf7e4c-4d5d-4acc-a834-e6c4a7629408,de,05.09.2025
Fireglass Mentor,BLB,Bloomburrow,213,normal,uncommon,1,95823,b78fbaa3-c580-4290-9c28-b74169aab2fc,de,05.09.2025
Lilysplash Mentor,BLB,Bloomburrow,222,normal,uncommon,1,95789,64de7b1f-a03e-4407-91f1-e108a2f26735,de,05.09.2025
Treeguard Duo,BLB,Bloomburrow,200,normal,common,1,96077,89c8456e-c971-42b7-abf3-ff5ae1320abe,de,05.09.2025
Alania's Pathmaker,BLB,Bloomburrow,123,normal,common,1,96123,d3871fe6-e26e-4ab4-bd81-7e3c7b8135c1,de,05.09.2025
Sonar Strike,BLB,Bloomburrow,32,normal,common,1,96093,a50da179-751f-47a8-a547-8c4a291ed381,de,05.09.2025
Lightshell Duo,FDN,Foundations,157,normal,common,1,101063,bb75315c-ea8f-4eb0-899e-c73ef75fc396,de,05.09.2025
Three Tree Mascot,FDN,Foundations,682,normal,common,1,100412,40b8bf3a-1cb5-4ce2-ac25-9410f17130de,de,05.09.2025
Ravine Raider,BLB,Bloomburrow,106,normal,common,1,96370,874510be-7ecd-4eff-abad-b9594eb4821a,de,05.09.2025
Spellgyre,BLB,Bloomburrow,72,normal,uncommon,1,96139,f6f6620a-1d40-429d-9a0c-aaeb62adaa71,de,05.09.2025
Sugar Coat,BLB,Bloomburrow,76,normal,uncommon,1,95887,fcacbe71-efb0-49e1-b2d0-3ee65ec6cf8b,de,05.09.2025
Wildfire Howl,BLB,Bloomburrow,162,normal,uncommon,1,96059,7392d397-9836-4df2-944d-c930c9566811,de,05.09.2025
"Mabel, Heir to Cragflame",BLB,Bloomburrow,224,normal,rare,1,91707,be6627fd-729d-44f2-b6bf-5299f49d1e3d,de,05.09.2025
