Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Glassworks // Shattered Yard,DSK,Duskmourn: House of Horror,137,normal,common,1,98950,fe32f667-8d9f-4414-913e-256cbc2fbc45,de,15.10.2025
Fanatic of the Harrowing,DSK,Duskmourn: House of Horror,96,normal,common,1,98699,2a0acb05-91e0-4f7c-b48b-99e1068fad16,de,15.10.2025
Clammy Prowler,DSK,Duskmourn: House of Horror,45,normal,common,1,98795,237f0b93-f12e-4c5f-a3d7-83e8f20f8493,de,15.10.2025
Emerge from the Cocoon,DSK,Duskmourn: House of Horror,5,normal,common,1,98813,3ba16fbf-2d44-4337-87cb-6ff6b84a258a,de,15.10.2025
Erratic Apparition,DSK,Duskmourn: House of Horror,54,normal,common,1,99287,a74fd612-2890-4333-a379-5bf7650fbb87,de,15.10.2025
Boilerbilges Ripper,DSK,Duskmourn: House of Horror,127,normal,common,1,99066,1a68009c-83cd-455f-81e9-bdd720d23a43,de,15.10.2025
Infernal Phantom,DSK,Duskmourn: House of Horror,141,normal,uncommon,1,98678,f0c5999f-a185-4fc7-86fa-c4e5b091e768,de,15.10.2025
Rite of the Moth,DSK,Duskmourn: House of Horror,229,normal,uncommon,1,98770,0e79123f-accd-4193-8c72-b750e0d6f3fa,de,15.10.2025
Cryptid Inspector,DSK,Duskmourn: House of Horror,174,normal,common,1,98858,820c2932-2e23-4f67-92d0-a630aec6f1b4,de,15.10.2025
Under the Skin,DSK,Duskmourn: House of Horror,203,normal,uncommon,1,98768,0aaf1ad3-00ad-48ec-a71f-812649d55e14,de,15.10.2025
Walk-In Closet // Forgotten Cellar,DSK,Duskmourn: House of Horror,205,normal,mythic,1,99047,0adcd4e5-d542-4293-8774-ace2305ef820,de,15.10.2025
Defiled Crypt // Cadaver Lab,DSK,Duskmourn: House of Horror,91,normal,uncommon,1,99366,d94fb4da-0d3f-4d84-966b-914b84b23289,de,15.10.2025
Resurrected Cultist,DSK,Duskmourn: House of Horror,115,normal,common,1,98933,e41bd259-e81f-432a-bebf-4c6534f23db7,de,15.10.2025
Daggermaw Megalodon,DSK,Duskmourn: House of Horror,48,normal,common,1,98934,e72a38b9-29aa-4804-ab27-4c40321f0bc3,de,15.10.2025
Trial of Agony,DSK,Duskmourn: House of Horror,159,normal,uncommon,1,98947,fa62f67a-d20f-4d99-b0a2-327634299c9f,de,15.10.2025
Say Its Name,DSK,Duskmourn: House of Horror,197,normal,common,1,98725,94c58683-b5f2-4863-9562-6f6be1ec21fe,de,15.10.2025
Malevolent Chandelier,DSK,Duskmourn: House of Horror,252,normal,common,1,99015,ef09d296-4493-47f7-ad76-ad76c747df78,de,15.10.2025
Innocuous Rat,DSK,Duskmourn: House of Horror,103,normal,common,1,98872,94edbbc5-5673-4753-bfad-4432c4b7dca4,de,15.10.2025
Underwater Tunnel // Slimy Aquarium,DSK,Duskmourn: House of Horror,79,normal,common,1,99092,2dd69f2d-8c9c-41fc-93ea-48fc7a6d5272,de,15.10.2025
Shepherding Spirits,DSK,Duskmourn: House of Horror,31,normal,common,1,98720,86c02ab1-0fb2-4cb0-a871-bfad406726fc,de,15.10.2025
Unwilling Vessel,DSK,Duskmourn: House of Horror,81,normal,uncommon,1,98631,5d1758ed-fe33-4ead-8c83-e54fabcb4cfe,de,15.10.2025
Insidious Fungus,DSK,Duskmourn: House of Horror,186,normal,uncommon,1,98922,d60d2e62-06da-410a-81ed-6cebb2632fb6,de,15.10.2025
Keys to the House,DSK,Duskmourn: House of Horror,251,normal,uncommon,1,99246,8c11a413-7f33-4b63-bdd9-e143e529f56d,de,15.10.2025
"Marvin, Murderous Mimic",DSK,Duskmourn: House of Horror,367,normal,rare,1,99014,ed4f107a-ce90-464c-8be0-eb6c1db0f80f,de,15.10.2025
Glimmer,TDSK,Duskmourn: House of Horror Tokens,4,normal,common,1,98968,475c7449-2c95-4873-94de-68a5e06cdfb8,de,15.10.2025
Wickerfolk Thresher,DSK,Duskmourn: House of Horror,207,normal,uncommon,2,98902,b3a74892-20cd-47f7-b514-a4c7f14cca8b,de,15.10.2025
Leyline of Hope,DSK,Duskmourn: House of Horror,18,normal,rare,1,95594,40960e47-3065-485e-aede-29a62411034e,en,25.08.2025
