Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Jungle Hollow,FDN,Foundations,263,normal,common,1,101224,dc758e14-d370-45e4-bbc5-938fb4d21127,de,01.03.2025
Tolarian Terror,FDN,Foundations,167,normal,common,2,100270,2569d4f3-55ed-4f99-9592-34c7df0aab72,de,01.03.2025
Fleeting Distraction,FDN,Foundations,155,normal,common,2,101587,c0b86a7b-4912-43a7-ab89-c3432385baa1,de,01.03.2025
Hare Apparent,FDN,Foundations,15,normal,common,1,100907,9fc6f0e9-eb5f-4bc0-b3d7-756644b66d12,de,01.03.2025
Resolute Reinforcements,FDN,Foundations,145,normal,uncommon,1,100841,940f3989-77cc-49a9-92e0-095a75d80f0f,de,01.03.2025
Goblin Negotiation,FDN,Foundations,88,normal,uncommon,1,101335,f2016585-e26c-4d13-b09f-af6383c192f7,de,01.03.2025
Swiftblade Vindicator,FDN,Foundations,246,normal,rare,1,101372,f94618ec-000c-4371-b925-05ff82bfe221,de,01.03.2025
Banishing Light,FDN,Foundations,138,normal,common,1,101613,e38dc3b3-1629-491b-8afd-0e7a9a857713,de,01.03.2025
"Niv-Mizzet, Visionary",FDN,Foundations,123,normal,mythic,1,100706,7a69a618-d588-4745-8ede-0ff0a9f356f1,de,01.03.2025
Dwynen's Elite,FDN,Foundations,218,normal,common,2,100800,89d94c28-ea2e-4a3d-935f-6b2d9f2efc7a,de,01.03.2025
Sure Strike,FDN,Foundations,209,normal,common,1,101525,5de6a1e4-5c66-43e6-9f2a-2635bdab03f6,de,01.03.2025
Burglar Rat,FDN,Foundations,170,normal,common,1,101608,de1c8758-ce3d-49cf-8173-c0eb46f5e7bc,de,01.03.2025
Revenge of the Rats,FDN,Foundations,67,normal,uncommon,1,100232,1f463c55-39a0-4f2f-aae3-0c5540bde5b7,de,01.03.2025
Eaten Alive,INR,Innistrad Remastered,106,normal,common,2,102431,143d278d-d99b-42da-9fbd-9ab70526d53a,de,01.03.2025
Involuntary Employment,FDN,Foundations,203,normal,common,1,101622,f3ad3d62-2f24-4562-b3fa-809213dbc4a4,de,01.03.2025
Ambush Wolf,FDN,Foundations,98,normal,common,1,101492,2903832c-318e-42ab-bf58-c682ec2f7afd,de,01.03.2025
Helpful Hunter,FDN,Foundations,16,normal,common,2,97172,1b9a0e91-80b5-428f-8f08-931d0631be14,de,01.03.2025
Nessian Hornbeetle,FDN,Foundations,229,normal,uncommon,1,100395,3d4d93de-85c6-4653-8ddd-d8bf21516d44,de,01.03.2025
Divine Resilience,FDN,Foundations,10,normal,uncommon,1,101347,f3a08245-a535-4d24-b8c0-78759bb9c4b0,de,01.03.2025
Empyrean Eagle,FDN,Foundations,239,normal,uncommon,1,100533,577e99a7-4a55-4314-8f08-2ae0c33b85c7,de,01.03.2025
Secluded Courtyard,FDN,Foundations,267,normal,uncommon,1,101161,d13373d2-139b-48c7-a8c9-828cefc4f150,de,01.03.2025
Soldier,TFDN,Foundations Tokens,6,normal,common,1,101597,d093322e-a717-4e2d-8199-fa560792bcf6,de,01.03.2025
Rabbit,TFDN,Foundations Tokens,5,normal,common,1,101533,63ae4f9c-ad6e-4d6a-89f1-653916bf5373,de,01.03.2025
Faerie,TFDN,Foundations Tokens,9,normal,common,3,101600,d1c0556e-ba3c-4a8e-b704-8eaa7c4dba1c,de,01.03.2025
Fish,TFDN,Foundations Tokens,10,normal,common,1,101505,44057462-40b7-4709-afac-2ce03d53d525,de,01.03.2025
Vengeful Bloodwitch,FDN,Foundations,76,normal,uncommon,2,97189,bd0c12dd-f138-45c0-9614-d83a1d8e8399,de,01.03.2025
Sylvan Scavenging,FDN,Foundations,113,normal,rare,1,101100,c35b683c-d3b2-46a1-876a-81b34e8ba2fc,de,01.03.2025
An Offer You Can't Refuse,FDN,Foundations,160,normal,uncommon,1,100948,a829747f-cf9b-4d81-ba66-9f0630ed4565,de,01.03.2025
Firespitter Whelp,FDN,Foundations,197,normal,uncommon,2,100463,4b3a4c7d-3126-4bde-9dca-cb6a1e2f37c9,de,01.03.2025
Mischievous Mystic,FDN,Foundations,47,normal,uncommon,2,100242,20d89cec-528b-4b2a-87db-e11ce0000622,de,01.03.2025
"Ruby, Daring Tracker",FDN,Foundations,245,normal,uncommon,1,101405,fe3e7dd2-b66d-4218-9fde-f84bec26b7bf,de,01.03.2025
Vampire Soulcaller,FDN,Foundations,75,normal,common,1,101495,2d076293-3b45-4878-8f67-978927cc1f68,de,01.03.2025
Fleeting Flight,FDN,Foundations,13,normal,common,1,101513,55139100-9342-41fd-b10a-8e9932e605d4,de,01.03.2025
Cackling Prowler,FDN,Foundations,101,normal,common,1,101481,1bd8e971-c075-4203-8d83-c28f22d4f9b9,de,01.03.2025
Sower of Chaos,FDN,Foundations,95,normal,common,1,101556,7ff50606-491c-4946-8d03-719b01cfad77,de,01.03.2025
