Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Clue,TMSH,Marvel Super Heroes Tokens,17,normal,common,1,114427,5e644586-888f-4e2e-8d66-8aa02bd79ec1,de,02.07.2026
Soldier,TMSH,Marvel Super Heroes Tokens,3,normal,common,1,114590,ecd686bf-d14b-491c-b0c5-88fc8f0472f9,de,02.07.2026
Soldier,TMSH,Marvel Super Heroes Tokens,4,normal,common,1,114299,5ef2f34e-0ff2-4157-9d4a-73ecf4cd449b,de,02.07.2026
Villain,TMSH,Marvel Super Heroes Tokens,9,normal,common,1,114297,4a51b6a0-9a54-4f01-b959-0a28c15d103f,de,02.07.2026
Pym Particles,MSH,Marvel Super Heroes,70,foil,uncommon,1,113418,928dfa54-1ead-4eff-a538-36cb94f05b78,de,02.07.2026
Alien Invasion,MSH,Marvel Super Heroes,200,normal,rare,1,114084,f46a7158-5807-4750-a1f3-853aabb56b99,de,02.07.2026
"Captain America, Wings of Freedom",MSH,Marvel Super Heroes,353,normal,rare,1,113406,309e72e0-d47e-49af-b85a-45b51afb65b1,de,02.07.2026
Murdock's Crusade,MSH,Marvel Super Heroes,24,normal,common,1,113234,98df64ca-39c3-47e6-8143-4106c8e9cf59,de,02.07.2026
S.H.I.E.L.D. Deployment Drone,MSH,Marvel Super Heroes,73,normal,common,1,113970,c3d0f02f-dfaf-47b6-8053-514417f4dfe2,de,02.07.2026
The Masters of Evil,MSH,Marvel Super Heroes,105,normal,uncommon,1,113200,65ba4439-3282-4179-85b9-67a25e2e5d24,de,02.07.2026
HYDRA Assault Robot,MSH,Marvel Super Heroes,137,normal,common,1,114044,e3b23fff-7d3b-4341-b556-82136f8c113b,de,02.07.2026
"Beast, Erudite Aerialist",MSH,Marvel Super Heroes,206,normal,uncommon,1,113906,a92a95d2-9529-417a-b7d5-b4244d7fdca7,de,02.07.2026
"Iron Fist, Living Weapon",MSH,Marvel Super Heroes,138,normal,uncommon,1,113193,5cc2d948-ac8b-4466-b604-3fabc0ab6bb9,de,02.07.2026
Serpent Specialist,MSH,Marvel Super Heroes,186,normal,common,1,113779,72727c2a-08a9-47bc-a5eb-cda52e21684b,de,02.07.2026
Decoy Ploy,MSH,Marvel Super Heroes,94,normal,common,1,114018,d8719b74-48ef-4f68-b59a-949edd644ddc,de,02.07.2026
Roxxon Brutes,MSH,Marvel Super Heroes,113,normal,common,1,113414,66550490-74e1-4bf1-8741-1266dfab3a03,de,02.07.2026
Dark Fortress,MSH,Marvel Super Heroes,264,normal,rare,1,113339,c16fd43c-7c47-4c1b-860f-91146532e89d,de,02.07.2026
Web Up,MSH,Marvel Super Heroes,41,foil,common,1,113882,9a1b057b-229c-4f65-ba4e-12dd342238de,de,02.07.2026
"Moonstone, Harsh Mistress",MSH,Marvel Super Heroes,107,normal,uncommon,1,113565,1a1b2bd0-e17d-4b34-a8ee-7c913a6bc945,de,02.07.2026
Ka-Zar of the Savage Land,MSH,Marvel Super Heroes,174,normal,uncommon,1,113991,caf70fc5-87a0-4b4d-bedd-74dd09569bed,de,02.07.2026
"Speedball, New Warrior",MSH,Marvel Super Heroes,227,normal,uncommon,1,114038,e040b456-9853-4e94-9bf8-9374888168bb,de,02.07.2026
Hire a Crew,MSH,Marvel Super Heroes,134,normal,common,1,113696,50a6aa80-79a3-46f3-9cc1-5bf663b64976,de,02.07.2026
Giant-Sized Flying Ant,MSH,Marvel Super Heroes,56,normal,common,1,114024,da529bb3-725b-41aa-ac34-b4117ff5d95b,de,02.07.2026
Web Up,MSH,Marvel Super Heroes,41,normal,common,1,113882,9a1b057b-229c-4f65-ba4e-12dd342238de,de,02.07.2026
Falcon's Wing Harness,MSH,Marvel Super Heroes,53,foil,uncommon,1,113402,20e93f86-9e20-4e08-9bf7-ae6ebebf6876,de,02.07.2026
Vibranium Energy Daggers,MSH,Marvel Super Heroes,254,normal,common,1,113694,4fe5952d-f50f-443a-b960-657fc4bc1965,de,02.07.2026
Repulsor Blast,MSH,Marvel Super Heroes,150,normal,common,1,113826,837265b0-fc15-4d96-9d6b-fd1c78534262,de,02.07.2026
HYDRA Troopers,MSH,Marvel Super Heroes,101,normal,common,1,113410,40c202f1-6e0d-42f4-a41e-e0be3362d585,de,02.07.2026
Undercover Skrull,MSH,Marvel Super Heroes,194,normal,common,1,113863,90b9a3c0-3fd6-403e-9d6c-201342fea0ad,de,02.07.2026
"Okoye, Dora Milaje Leader",MSH,Marvel Super Heroes,27,normal,uncommon,1,113602,2c89acf5-20f0-4441-b96f-2c5cacd685fb,de,02.07.2026
"Ms. Marvel, Kamala Khan",MSH,Marvel Super Heroes,67,normal,rare,1,113381,9dd2d627-10fc-4045-8545-03bcf75e60ca,de,02.07.2026
Punishing Punch,MSH,Marvel Super Heroes,180,normal,uncommon,1,113897,a33a4cb4-1b57-47ca-8e5e-58ff46a6e0ce,de,02.07.2026
Madame Hydra,MSH,Marvel Super Heroes,221,normal,uncommon,1,113279,e94ccedb-1d27-4098-8823-d8d99b30387c,de,02.07.2026
Hydraulic Helper,MSH,Marvel Super Heroes,57,normal,common,1,113523,06d8a2a0-775b-4813-973f-8b15612b38d1,de,02.07.2026
Thirst for Knowledge,MSH,Marvel Super Heroes,79,normal,uncommon,1,113413,5f4f77e5-0019-4a5f-bae6-136121946929,de,02.07.2026
Vision of Love,MSH,Marvel Super Heroes,158,normal,common,1,113713,5604cee1-a2ea-48ed-88f4-6878bd053fc8,de,02.07.2026
Kree Commandos,MSH,Marvel Super Heroes,19,normal,common,1,113651,401f9ccf-f30c-4777-9a5b-4c340e724fff,de,02.07.2026
Hour of Defeat,MSH,Marvel Super Heroes,99,normal,common,1,113887,9e0034dd-396e-46af-b931-0daa25da4406,de,02.07.2026
Go Nuts!,MSH,Marvel Super Heroes,168,normal,common,1,113136,152a7b5b-2d95-45d3-8fd9-0ca1d5a79f8b,de,02.07.2026
H.E.R.B.I.E. Scout Unit,MSH,Marvel Super Heroes,247,normal,common,2,113620,3496d0d4-3fab-4ea4-8986-afe5a7155ec6,de,02.07.2026
Atlantean Cavalry,MSH,Marvel Super Heroes,45,normal,common,2,113546,1319bf54-8705-4cc4-8d08-40f05fd09837,de,02.07.2026
