Name,Set code,Language,Quantity
Bag of Holding,AFR,en,1
Bard Class,AFR,en,1
Blink Dog,AFR,en,1
Bulette,AFR,de,1
Bulette,AFR,en,1
Burning Hands,AFR,en,1
Charmed Sleep,AFR,en,1
Check for Traps,AFR,en,1
Clattering Skeletons,AFR,de,1
Compelled Duel,AFR,de,1
Demogorgon's Clutches,AFR,en,1
Dragon's Disciple,AFR,de,1
Dungeon Map,AFR,de,1
Dungeon Map,AFR,en,1
Eye of Vecna,AFR,en,1
Faerie Dragon,TAFR,en,1
"Farideh, Devil's Chosen",AFR,en,1
Hired Hexblade,AFR,de,1
Hoard Robber,AFR,de,1
Hoard Robber,AFR,en,1
Jaded Sell-Sword,AFR,en,1
Krydle of Baldur's Gate,AFR,de,1
Krydle of Baldur's Gate,AFR,en,1
"Lolth, Spider Queen",AFR,de,1
Mimic,AFR,en,1
Moon-Blessed Cleric,AFR,en,1
Neverwinter Dryad,AFR,de,1
Neverwinter Dryad,AFR,en,1
Pixie Guide,AFR,en,2
Plummet,AFR,de,1
Portable Hole,AFR,en,1
Purple Worm,AFR,en,1
Ranger's Longbow,AFR,en,1
Ray of Frost,AFR,de,1
Red Dragon,AFR,de,2
Red Dragon,AFR,en,1
Rimeshield Frost Giant,AFR,de,1
Rust Monster,AFR,en,1
Scaled Herbalist,AFR,de,1
Scaled Herbalist,AFR,en,1
Shortcut Seeker,AFR,en,1
Soulknife Spy,AFR,en,1
Split the Party,AFR,en,1
Tasha's Hideous Laughter,AFR,en,1
Temple of the Dragon Queen,AFR,de,1
The Atropal,TAFR,en,1
The Book of Exalted Deeds,AFR,en,1
Thieves' Tools,AFR,de,1
Thieves' Tools,AFR,en,1
White Dragon,AFR,de,1
Wight,AFR,de,1
Wizard's Spellbook,AFR,de,1
Wolf,TAFR,en,1
You're Ambushed on the Road,AFR,en,1
Yuan-Ti Fang-Blade,AFR,de,1
Yuan-Ti Fang-Blade,AFR,en,1
