Name,Set code,Language,Quantity
Adarkar Wastes,EOC,de,1
"Alibou, Ancient Witness",EOC,de,1
Ancient Den,EOC,de,1
Angel of the Ruins,EOC,de,1
Arcane Signet,EOC,de,1
Astral Cornucopia,EOC,de,1
Auxiliary Boosters,EOE,de,1
Battlefield Forge,EOC,de,1
Bird,TEOC,de,1
Brightspear Zealot,EOE,de,1
Buried Ruin,EOC,de,1
Cascade Bluffs,EOC,de,1
Chain Reaction,EOC,de,1
Chaos Warp,EOC,de,1
Chrome Host Seedshark,EOC,de,1
Clifftop Retreat,EOC,de,1
Cloud Key,EOC,de,1
Cloudsculpt Technician,EOE,de,1
Codecracker Hound,EOE,de,1
Command Bridge,EOE,de,1
Command Tower,EOC,de,1
Coretapper,EOC,de,1
Cryoshatter,EOE,de,1
Crystalline Crawler,EOC,de,1
Cut Propulsion,EOE,de,1
Cyberdrive Awakener,EOC,de,1
Dark Endurance,EOE,de,1
Darksteel Reactor,EOC,de,1
Deepglow Skate,EOC,de,1
Depthshaker Titan,EOC,de,1
Deserted Temple,EOS,de,1
Diplomatic Relations,EOE,de,1
Dispatch,EOC,de,1
Divert Disaster,EOE,de,1
Dockworker Drone,EOE,de,1
"Dyadrine, Synthesis Amalgam",EOE,de,1
Embrace Oblivion,EOE,de,1
Empowered Autogenerator,EOC,de,1
"Emry, Lurker of the Loch",EOC,de,1
Enthusiastic Mechanaut,EOC,de,1
Etched Oracle,EOC,de,1
Etherium Sculptor,EOC,de,1
Everflowing Chalice,EOC,de,1
Evolving Wilds,EOC,de,1
Exotic Orchard,EOC,de,1
Experimental Augury,EOC,de,1
Fell Gravship,EOE,de,1
Frenzied Baloth,EOE,de,1
Fumigate,EOC,de,1
Galactic Wayfarer,EOE,de,1
Gavel of the Righteous,EOC,de,1
Gigastorm Titan,EOE,de,1
Glacial Fortress,EOC,de,1
Glittering Massif,EOC,de,1
Gnome,TEOC,de,2
Godless Shrine,EOE,de,1
Golem,TEOC,de,4
Golem Foundry,EOC,de,1
Gravblade Heavy,EOE,de,1
Gravpack Monoist,EOE,de,1
Great Furnace,EOC,de,1
Hangarback Walker,EOC,de,1
Human Soldier,TEOE,de,3
Icecave Crasher,EOE,de,1
Incubator // Phyrexian,TEOC,de,2
Insight Engine,EOC,de,1
"Inspirit, Flagship Vessel",EOC,de,1
Intrepid Tenderfoot,EOE,de,1
Irrigated Farmland,EOC,de,1
"Jhoira, Weatherlight Captain",EOC,de,1
Kappa Cannoneer,EOC,de,1
Karn's Bastion,EOC,de,1
Kavaron Skywarden,EOE,de,1
"Kilo, Apogee Mind",EOC,de,1
Lander,TEOE,de,3
Lonely Sandbar,EOC,de,1
Long-Range Sensor,EOC,de,1
Lux Artillery,EOC,de,1
Lux Cannon,EOC,de,1
Mechanozoa,EOE,de,1
Mindless Automaton,EOC,de,1
Monoist Circuit-Feeder,EOE,de,1
Moxite Refinery,EOC,de,1
Mystic Monastery,EOC,de,1
Oreplate Pangolin,EOE,de,1
Organic Extinction,EOC,de,1
Patrolling Peacemaker,EOC,de,1
Pentad Prism,EOC,de,1
Phyrexian Metamorph,EOC,de,1
Pinnacle Starcage,EOE,de,1
Pull from Tomorrow,EOC,de,1
Pulsar Squadron Ace,EOE,de,1
Radiant Summit,EOC,de,1
Razortide Bridge,EOC,de,1
Red Tiger Mechan,EOE,de,1
Remnant Elemental,EOE,de,1
Resourceful Defense,EOC,de,1
Rig for War,EOE,de,1
Ripples of Potential,EOC,de,1
Rugged Prairie,EOC,de,1
Rustvale Bridge,EOC,de,1
Seat of the Synod,EOC,de,1
Secluded Steppe,EOC,de,1
Seedship Impact,EOE,de,1
Shivan Reef,EOC,de,1
Silverbluff Bridge,EOC,de,1
Skycloud Expanse,EOC,de,1
Sol Ring,EOC,de,1
Solar Array,EOC,de,1
Soul-Guide Lantern,EOC,de,1
Space-Time Anomaly,EOE,de,2
Spire of Industry,EOC,de,1
Starfighter Pilot,EOE,de,1
Steel Overseer,EOC,de,1
Sulfur Falls,EOC,de,1
Sunstar Expansionist,EOE,de,1
Surge Conductor,EOC,de,1
Swan Song,EOC,de,1
Swords to Plowshares,EOC,de,1
"Tekuthal, Inquiry Dominus",EOC,de,1
Temple of Enlightenment,EOC,de,1
Temple of Epiphany,EOC,de,1
Temple of Triumph,EOC,de,1
Tezzeret's Gambit,EOC,de,1
Thawbringer,EOE,de,1
The Mycosynth Gardens,EOC,de,1
Thirst for Knowledge,EOC,de,1
Thopter,TEOC,de,1
Thought Monitor,EOC,de,1
Threefold Thunderhulk,EOC,de,1
Thrummingbird,EOC,de,1
Titan Forge,EOC,de,1
Universal Surveillance,EOC,de,1
Uthros Research Craft,EOC,de,1
Voidforged Titan,EOE,de,1
Vote Out,EOE,de,1
Wake the Past,EOC,de,1
Weftstalker Ardent,EOE,de,1
