Name,Set code,Language,Quantity
"Aang, at the Crossroads // Aang, Destined Savior",TLA,de,1
"Aang, the Last Airbender",TLA,de,1
Aang's Iceberg,TLA,de,1
Aang's Journey,TLA,de,4
Abandon Attachments,TLA,de,3
Accumulate Wisdom,TLA,de,1
Air Nomad Legacy,TLA,de,1
Airbender's Reversal,TLA,de,1
Airbending Lesson,TLA,de,4
Airship Engine Room,TLA,de,1
Allies at Last,TLA,de,1
Ally,TTLA,de,17
"Appa, Loyal Sky Bison",TLA,de,1
Avatar Enthusiasts,TLA,de,3
"Avatar Kyoshi, Earthbender",TLE,de,1
Avatar's Wrath,TLA,de,1
Azula Always Lies,TLA,de,3
"Azula, Cunning Usurper",TLA,de,1
"Azula, On the Hunt",TLA,de,1
"Azula, Ruthless Firebender",TLE,de,1
Badgermole,TLA,de,2
Badgermole Cub,TLA,de,1
Ballistic Boulder,TTLA,de,3
Barrels of Blasting Jelly,TLA,de,3
Bear,TTLA,de,1
Beetle-Headed Merchants,TLA,de,2
Beifong's Bounty Hunters,TLA,de,1
Bender's Waterskin,TLA,de,3
Benevolent River Spirit,TLA,de,2
Bitter Work,TLA,de,1
Boar-q-pine,TLA,de,3
Boiling Rock Prison,TLA,de,2
Bumi Bash,TLA,de,3
"Bumi, King of Three Trials",TLA,de,1
Buzzard-Wasp Colony,TLA,de,1
Callous Inspector,TLA,de,3
Canyon Crawler,TLA,de,4
Captain Sisay,TLE,de,1
Cat-Gator,TLA,de,2
Cat-Owl,TLA,de,2
Clue,TTLA,de,18
Combustion Man,TLA,de,1
Combustion Technique,TLA,de,1
Compassionate Healer,TLA,de,2
Copy,TTLA,de,6
Corrupt Court Official,TLA,de,3
Crashing Wave,TLA,de,1
Crescent Island Temple,TLA,de,1
Cruel Administrator,TLA,de,1
Cunning Maneuver,TLA,de,3
Curious Farm Animals,TLA,de,4
Cycle of Renewal,TLA,de,3
Dai Li Agents,TLA,de,2
Dai Li Indoctrination,TLA,de,2
Deadly Precision,TLA,de,3
Deny Entry,TLE,de,1
Deserter's Disciple,TLA,de,3
Destined Confrontation,TLA,de,2
Dragonfly Swarm,TLA,de,1
Earth King's Lieutenant,TLA,de,1
Earth Kingdom General,TLA,de,1
Earth Kingdom Jailer,TLA,de,2
Earth Kingdom Protectors,TLA,de,1
Earth Kingdom Soldier,TLA,de,3
Earth Rumble,TLA,de,1
Earth Rumble Wrestlers,TLA,de,4
Earth Village Ruffians,TLA,de,2
Earthbender Ascension,TLA,de,2
Earthbending Lesson,TLA,de,2
Earthen Ally,TLA,de,1
Eel-Hounds,TLE,de,1
