Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Skeleton,TCLB,Battle for Baldur's Gate Tokens,8,normal,common,2,69661,cf4c245f-af2f-46a7-81f3-670a04940901,de,01.03.2025
Caves of Chaos Adventurer,CLB,Commander Legends: Battle for Baldur's Gate,167,normal,rare,1,68835,09abb6df-2aa1-4999-b550-db2892faa8c7,de,01.03.2025
Wyll's Reversal,CLB,Commander Legends: Battle for Baldur's Gate,209,normal,rare,1,68976,3d8df219-1da0-4311-b9bb-c74b5fa55293,de,01.03.2025
Alaundo the Seer,CLB,Commander Legends: Battle for Baldur's Gate,264,normal,rare,2,69230,b22c33bb-47fe-4334-9105-00f4b87811bd,de,01.03.2025
Dragon Cultist,CLB,Commander Legends: Battle for Baldur's Gate,170,normal,uncommon,2,69339,e06ad968-ca7a-470b-ba3b-e0afc597b2cd,de,01.03.2025
"Imoen, Mystic Trickster",CLB,Commander Legends: Battle for Baldur's Gate,77,normal,uncommon,2,68856,1097264b-e383-4864-a587-dc7d5468f359,de,01.03.2025
Draconic Muralists,CLB,Commander Legends: Battle for Baldur's Gate,224,normal,uncommon,2,69007,4c9bf864-1f93-4d73-a212-f71265411768,de,01.03.2025
Dungeoneer's Pack,CLB,Commander Legends: Battle for Baldur's Gate,312,normal,uncommon,2,69210,aa74e656-480a-4c1b-963d-1b207075c27f,de,01.03.2025
Faceless One,CLB,Commander Legends: Battle for Baldur's Gate,1,normal,special,1,68919,25564fba-5765-457b-8dd3-f26b877221b8,de,01.03.2025
Heap Gate,CLB,Commander Legends: Battle for Baldur's Gate,354,normal,common,2,69079,68489d65-1978-48b1-a903-2ef38c583239,de,01.03.2025
Wayfarer's Bauble,MOC,March of the Machine Commander,389,normal,common,2,81563,2498c2d5-c7b8-47ad-8a13-b92d36b5db10,de,01.03.2025
Steadfast Unicorn,CLB,Commander Legends: Battle for Baldur's Gate,44,normal,common,1,68862,13762890-6c5e-44e4-9bd8-998bd054db20,de,01.03.2025
Summon Undead,CLB,Commander Legends: Battle for Baldur's Gate,151,normal,common,2,68924,278f7705-01a4-4baf-929b-b93e538a8d77,de,01.03.2025
Evolving Wilds,CLB,Commander Legends: Battle for Baldur's Gate,352,normal,common,2,69255,bbc8841a-0f6e-4078-a0b9-a4bda642182e,de,01.03.2025
Cloak of the Bat,CLB,Commander Legends: Battle for Baldur's Gate,443,normal,common,3,69009,4ea5a5f3-7147-4abd-af8d-8baab4c2aa06,de,01.03.2025
Murder,CLB,Commander Legends: Battle for Baldur's Gate,134,normal,common,2,69261,bdef7fea-2bd0-42a2-96f6-6def18bd7f0c,de,01.03.2025
Nimbleclaw Adept,CLB,Commander Legends: Battle for Baldur's Gate,86,normal,common,2,68850,0df69a02-0b89-46af-abbc-51d1c419daed,de,01.03.2025
Cloakwood Swarmkeeper,CLB,Commander Legends: Battle for Baldur's Gate,222,normal,common,1,69245,b6918a85-1a10-4a73-917c-23bd0a877a04,de,01.03.2025
Reckless Barbarian,CLB,Commander Legends: Battle for Baldur's Gate,193,normal,common,2,69289,c912e984-1d27-4da2-9733-d56e437bcf58,de,01.03.2025
Blessed Hippogriff // Tyr's Blessing,CLB,Commander Legends: Battle for Baldur's Gate,11,normal,common,2,69240,b4590e53-ca8d-4896-a8cf-6af1e4bc456f,de,01.03.2025
Deadly Dispute,BLC,Bloomburrow Commander,181,normal,common,2,96317,61f2155e-c3b2-4c8e-b5b0-25dd5e29228c,de,01.03.2025
Windshaper Planetar,CLB,Commander Legends: Battle for Baldur's Gate,50,normal,rare,2,69193,a2ecf2f5-6d8b-4321-9aa1-d84c291a5c20,de,01.03.2025
Candlekeep Sage,CLB,Commander Legends: Battle for Baldur's Gate,60,normal,common,3,69091,6f706ac3-0ad8-44ac-a99e-21c04075951d,de,01.03.2025
"Wilson, Refined Grizzly",CLB,Commander Legends: Battle for Baldur's Gate,261,normal,uncommon,1,69337,dfe0daf8-43da-484b-baa1-76f8313c5a0c,de,01.03.2025
"Viconia, Drow Apostate",CLB,Commander Legends: Battle for Baldur's Gate,156,normal,uncommon,2,69378,f631762a-e833-40a5-a6e9-b6cde38f62f0,de,01.03.2025
Sigil of Myrkul,CLB,Commander Legends: Battle for Baldur's Gate,147,normal,uncommon,1,68918,24fdf8bd-1893-4599-936a-fe0d6a87545f,de,01.03.2025
Saddle of the Cavalier,CLB,Commander Legends: Battle for Baldur's Gate,251,normal,uncommon,1,69124,7fc8d802-33bd-48c1-bb4f-31fefac85a5a,de,01.03.2025
Bronze Walrus,CLB,Commander Legends: Battle for Baldur's Gate,302,normal,common,2,69234,b2cfd2c0-2110-47f1-809e-487b9b0a1043,de,01.03.2025
Lantern of Revealing,CLB,Commander Legends: Battle for Baldur's Gate,318,normal,common,2,68941,2f43d21a-4400-4770-95a9-ce074ee68232,de,01.03.2025
Javelin of Lightning,CLB,Commander Legends: Battle for Baldur's Gate,185,normal,common,1,68865,13d2f660-97f9-404b-82bb-37e396602580,de,01.03.2025
Taunting Kobold,CLB,Commander Legends: Battle for Baldur's Gate,404,normal,uncommon,1,68930,28d4f041-c485-464e-91b1-73597b1e7f73,de,01.03.2025
Mold Folk,CLB,Commander Legends: Battle for Baldur's Gate,133,normal,common,1,69152,8c5da403-d791-4ad4-a949-e8a56459cac1,de,01.03.2025
Stunning Strike,CLB,Commander Legends: Battle for Baldur's Gate,97,normal,common,1,69039,582dffab-2851-4498-ad69-c4d072617f32,de,01.03.2025
Predatory Impetus,CLB,Commander Legends: Battle for Baldur's Gate,249,normal,common,1,68817,0077099d-aafa-46b3-ab64-e1915a9dda70,de,01.03.2025
Manor Gate,CLB,Commander Legends: Battle for Baldur's Gate,356,normal,common,1,69115,793d4978-9e00-453d-8dc2-6d51ad6c26b7,de,01.03.2025
Decanter of Endless Water,CLB,Commander Legends: Battle for Baldur's Gate,309,normal,common,1,69016,518bbc36-58ea-44c4-a857-75a3aff058f5,de,01.03.2025
Young Blue Dragon // Sand Augury,CLB,Commander Legends: Battle for Baldur's Gate,106,normal,common,2,69034,56b0f66b-dca9-4a01-9394-20a513c2b225,de,01.03.2025
Avenging Hunter,CLB,Commander Legends: Battle for Baldur's Gate,215,normal,common,2,69373,f4072640-0f9b-4f0a-84cc-eda415cc92e7,de,01.03.2025
Bhaal's Invoker,CLB,Commander Legends: Battle for Baldur's Gate,163,normal,common,1,68982,3fd3e535-8412-4f79-a2b1-dfda9db1c496,de,01.03.2025
Minimus Containment,CLB,Commander Legends: Battle for Baldur's Gate,34,normal,common,1,69141,874b3590-932a-46b7-a7aa-e3e864ec22d1,de,01.03.2025
Arms of Hadar,CLB,Commander Legends: Battle for Baldur's Gate,113,normal,common,2,69329,db1fd431-8f6d-4ca5-bc0c-53881c500da1,de,01.03.2025
Knight,TCLB,Battle for Baldur's Gate Tokens,2,normal,common,2,69513,50633bba-9402-4d8c-a277-c370f25bd01f,de,01.03.2025
Parasitic Impetus,CLB,Commander Legends: Battle for Baldur's Gate,140,normal,common,1,69134,82958da6-71d5-4ad3-a149-aaa31f25e7cf,de,01.03.2025
Displacer Kitten,CLB,Commander Legends: Battle for Baldur's Gate,63,normal,rare,1,69285,c7a401b8-29fb-46ef-a663-427f66724d5c,de,01.03.2025
"Shadowheart, Dark Justiciar",CLB,Commander Legends: Battle for Baldur's Gate,146,normal,rare,1,68864,13a0913d-776b-4ef8-adef-8861349df2b5,de,01.03.2025
Guild Artisan,CLB,Commander Legends: Battle for Baldur's Gate,179,normal,uncommon,1,69214,abe5cc84-db39-4f64-b877-599880a8729a,de,01.03.2025
Nothic,CLB,Commander Legends: Battle for Baldur's Gate,138,normal,uncommon,2,69123,7f9fd859-577f-4836-b785-1cf11808b892,de,01.03.2025
Drillworks Mole,CLB,Commander Legends: Battle for Baldur's Gate,311,normal,uncommon,1,69175,9803002e-08f8-4533-b645-7e54d18bbc54,de,01.03.2025
Owlbear Shepherd,CLB,Commander Legends: Battle for Baldur's Gate,247,normal,uncommon,3,68836,0a4813b2-3fd7-4a2b-b87a-9ce5bb18bdd4,de,01.03.2025
Universal Solvent,CLB,Commander Legends: Battle for Baldur's Gate,342,normal,common,1,69342,e142122f-3a04-436e-a958-dc2224b4fc6d,de,01.03.2025
You're Confronted by Robbers,CLB,Commander Legends: Battle for Baldur's Gate,53,normal,common,1,69383,f76e5d23-a45f-4100-8638-fce33f290fc6,de,01.03.2025
Guildsworn Prowler,CLB,Commander Legends: Battle for Baldur's Gate,130,normal,common,3,69321,d7efb10f-c760-431c-8ac6-904965d850dc,de,01.03.2025
Dragonborn Looter,CLB,Commander Legends: Battle for Baldur's Gate,65,normal,common,2,69035,570e8aaa-5273-42f4-b151-51976ab7730c,de,01.03.2025
Command Tower,CLB,Commander Legends: Battle for Baldur's Gate,351,normal,common,2,69121,7eafe88e-ab38-442c-b147-bb01cc81178d,de,01.03.2025
Warehouse Thief,CLB,Commander Legends: Battle for Baldur's Gate,205,normal,common,2,69058,5e7a5951-4f71-47a0-ad80-f236f61d3f22,de,01.03.2025
Charcoal Diamond,CLB,Commander Legends: Battle for Baldur's Gate,305,normal,common,1,69368,f0475c79-bc7f-4de8-a020-226bc658d303,de,01.03.2025
Dream Fracture,CLB,Commander Legends: Battle for Baldur's Gate,66,normal,common,1,69328,daca6a57-38b7-4547-9174-a7f548ea1258,de,01.03.2025
Druid of the Emerald Grove,CLB,Commander Legends: Battle for Baldur's Gate,226,normal,common,2,69148,8a270d07-29da-4c31-ae6a-5f60c162f508,de,01.03.2025
Carnelian Orb of Dragonkind,CLB,Commander Legends: Battle for Baldur's Gate,166,normal,common,2,69355,e7e41166-bdaa-4aed-986a-7be1d043240c,de,01.03.2025
Flaming Fist Officer,CLB,Commander Legends: Battle for Baldur's Gate,19,normal,common,1,69176,98722a04-0674-4083-b6f5-51bb88a99814,de,01.03.2025
Vicious Battlerager,CLB,Commander Legends: Battle for Baldur's Gate,155,normal,common,3,68906,20f939d8-3d41-4d8b-baea-7f022104c704,de,01.03.2025
Psychic Impetus,CLB,Commander Legends: Battle for Baldur's Gate,89,normal,common,1,68927,288e811e-7beb-4379-95a3-e5f4e759aa9d,de,01.03.2025
Young Red Dragon // Bathe in Gold,CLB,Commander Legends: Battle for Baldur's Gate,210,normal,common,1,69305,d0b9865a-be87-48fd-a325-be6aca8a31e9,de,01.03.2025
Run Away Together,CLB,Commander Legends: Battle for Baldur's Gate,92,normal,common,1,69239,b43c6427-6d7d-4a90-b4b9-529895082d60,de,01.03.2025
"Viconia, Drow Apostate",CLB,Commander Legends: Battle for Baldur's Gate,394,normal,uncommon,2,69387,f99ecf8e-3819-4a14-b2e8-8fcd3fef5846,de,01.03.2025
Breath Weapon,CLB,Commander Legends: Battle for Baldur's Gate,165,normal,common,1,68819,0174e40a-0ef5-4439-91e6-3fc39f482520,de,01.03.2025
Mindmoil,RAV,Ravnica: City of Guilds,135,normal,rare,1,27875,0ccc79f7-2f35-4daf-a0c2-775f5fa6c249,de,01.03.2025
Chardalyn Dragon,CLB,Commander Legends: Battle for Baldur's Gate,306,normal,common,1,69209,a950d8be-dcf7-4253-a3cc-c040ba632355,de,01.03.2025
Scaled Nurturer,CLB,Commander Legends: Battle for Baldur's Gate,252,normal,common,1,69137,84ae5a76-b8b9-431d-8060-a6a96f5d1e0b,de,01.03.2025
You Look Upon the Tarrasque,CLB,Commander Legends: Battle for Baldur's Gate,262,normal,uncommon,2,69062,5f00a908-1898-48e9-8b04-88c2450b2dd3,de,01.03.2025
"Kagha, Shadow Archdruid",CLB,Commander Legends: Battle for Baldur's Gate,279,normal,uncommon,2,69068,6351adc8-2e44-4e5c-ae58-975b7332155e,de,01.03.2025
"Erinis, Gloom Stalker",CLB,Commander Legends: Battle for Baldur's Gate,230,normal,uncommon,2,69247,b6a7d041-957a-4b19-9517-214689dadd45,de,01.03.2025
"Astarion, the Decadent",CLB,Commander Legends: Battle for Baldur's Gate,265,normal,rare,3,69072,64d932b9-5682-4427-a871-7d452a488674,de,01.03.2025
Cultist of the Absolute,CLB,Commander Legends: Battle for Baldur's Gate,123,normal,rare,1,69228,b0c7b4af-d521-4f4f-8910-7e05f2f60eb6,de,01.03.2025
"Lulu, Loyal Hollyphant",CLB,Commander Legends: Battle for Baldur's Gate,32,normal,uncommon,3,69086,6d67e95e-c4a7-45bc-ae83-0b532ad530db,de,01.03.2025
Blade of Selves,CLB,Commander Legends: Battle for Baldur's Gate,301,normal,rare,1,69298,ce3367f8-5f5a-4205-909a-247b92a9c082,de,01.03.2025
"Bhaal, Lord of Murder",CLB,Commander Legends: Battle for Baldur's Gate,416,normal,rare,1,68943,2fef6465-987c-461b-8177-b6b7332bbe4e,de,01.03.2025
Raised by Giants,CLB,Commander Legends: Battle for Baldur's Gate,250,normal,rare,3,68860,11c93414-935e-462b-ad89-27ca21d01bf9,de,01.03.2025
Sword Coast Sailor,CLB,Commander Legends: Battle for Baldur's Gate,98,normal,uncommon,2,69093,704f8ab7-63fd-4963-bacd-0076fffb34a1,de,01.03.2025
"Wyll, Blade of Frontiers",CLB,Commander Legends: Battle for Baldur's Gate,208,normal,rare,1,69059,5e9d4562-964d-48ce-b03f-7cb491fa040d,de,01.03.2025
Mind Stone,CLB,Commander Legends: Battle for Baldur's Gate,325,normal,uncommon,1,68882,1969ddc0-ee6c-4c3d-a9dd-7f1c491609be,de,01.03.2025
Stonespeaker Crystal,CLB,Commander Legends: Battle for Baldur's Gate,338,normal,uncommon,1,69153,8c99e6e1-3b88-4d2f-bc5d-70439585a063,de,01.03.2025
