Name,Set code,Language,Quantity
Bakersbane Duo,BLB,de,1
Builder's Talent,BLB,de,1
Carrot Cake,BLB,de,1
Cindering Cutthroat,BLB,de,1
Conduct Electricity,BLB,de,1
Crumb and Get It,BLB,de,1
Daggerfang Duo,BLB,de,1
Daring Waverider,BLB,de,1
Diresight,BLB,de,1
Flowerfoot Swordmaster,TBLB,de,1
Fountainport Bell,BLB,de,1
Frilled Sparkshooter,BLB,de,2
Hazardroot Herbalist,BLB,de,1
Heirloom Epic,BLB,de,1
High Stride,BLB,de,1
Intrepid Rabbit,BLB,de,1
Long River Lurker,BLB,de,1
Might of the Meek,BLB,de,1
Mind Drill Assailant,BLB,de,1
Moonrise Cleric,BLB,de,1
Mudflat Village,BLB,de,1
Oakhollow Village,BLB,de,1
Patchwork Banner,BLB,de,1
Pearl of Wisdom,BLB,de,1
Persistent Marshstalker,BLB,de,1
Plumecreed Mentor,BLB,de,1
Psychic Whorl,BLB,de,2
Run Away Together,BLB,de,1
Ruthless Negotiation,BLB,de,1
Scrapshooter,BLB,de,1
Shore Up,BLB,de,1
Squirrel,TBLB,de,1
Stormchaser's Talent,BLB,de,1
Three Tree Mascot,FDN,de,1
Treasure,TBLB,de,1
Treetop Sentries,BLB,de,2
Uncharted Haven,FDN,de,1
"Vren, the Relentless",BLB,de,1
Whiskerquill Scribe,BLB,de,1
