Name,Set code,Language,Quantity
Alien Angel,TWHO,de,4
Arcane Signet,WHO,de,1
"Ashad, the Lone Cyberman",WHO,de,1
Auton Soldier,WHO,de,1
Blasphemous Act,WHO,de,1
Blink,WHO,de,1
Canyon Slough,WHO,de,1
Choked Estuary,WHO,de,1
Clockwork Droid,WHO,de,1
Clue,TWHO,de,2
Command Tower,WHO,de,1
Commander's Sphere,WHO,de,1
Copy,TWHO,de,2
Creeping Tar Pit,WHO,de,1
Crumbling Necropolis,WHO,de,1
Cult of Skaro,WHO,de,1
Cyber Conversion,WHO,de,1
Cyberman,TWHO,de,3
Cyberman Patrol,WHO,de,1
Cybermat,WHO,de,1
Cybermen Squadron,WHO,de,1
Cybership,WHO,de,1
Dalek,TWHO,de,5
Dalek Drone,WHO,de,1
Dalek Squadron,WHO,de,1
Darkwater Catacombs,WHO,de,1
"Davros, Dalek Creator",WHO,de,1
Day of the Moon,WHO,de,1
Death in Heaven,WHO,de,1
Delete,WHO,de,1
Desolate Lighthouse,WHO,de,1
Don't Blink,WHO,de,1
Doomsday Confluence,WHO,de,1
Dragonskull Summit,WHO,de,1
Drowned Catacomb,WHO,de,1
Ensnared by the Mara,WHO,de,1
Exotic Orchard,WHO,de,1
Exterminate!,WHO,de,1
Feed the Swarm,WHO,de,1
Fetid Pools,WHO,de,1
Fiery Islet,WHO,de,1
Foreboding Ruins,WHO,de,1
Frostboil Snarl,WHO,de,1
Gallifrey Council Chamber,WHO,de,1
Genesis of the Daleks,WHO,de,1
Great Intelligence's Plan,WHO,de,1
Haunted Ridge,WHO,de,1
Hunted by The Family,WHO,de,1
Laser Screwdriver,WHO,de,1
Lavaclaw Reaches,WHO,de,1
Lightning Greaves,WHO,de,1
Mark of the Rani,TWHO,de,3
Midnight Crusader Shuttle,WHO,de,1
Mind Stone,WHO,de,1
Missy,WHO,de,1
Ominous Cemetery,WHO,de,1
Path of Ancestry,WHO,de,1
Propaganda,WHO,de,1
"Rassilon, the War President",WHO,de,1
Reliquary Tower,DSC,de,1
Renegade Silent,WHO,de,1
River of Tears,MKC,de,1
Shadowblood Ridge,DSC,de,1
Shipwreck Marsh,INR,de,1
Smoldering Marsh,DSC,de,1
Snuff Out,GVL,de,1
Sol Ring,DRC,de,1
Solemn Simulacrum,DRC,de,1
Sontaran General,WHO,de,1
Stormcarved Coast,INR,de,1
Sunken Hollow,DRC,de,1
Sycorax Commander,WHO,de,1
Talisman of Dominance,DRC,de,1
Talisman of Indulgence,DSC,de,1
Temple of Deceit,DRC,de,1
Temple of Epiphany,DRC,de,1
Temple of Malice,FDN,de,1
Temple of the False God,DSC,de,1
Terramorphic Expanse,DRC,de,1
"The Beast, Deathless Prince",WHO,de,1
The Cyber-Controller,WHO,de,1
The Dalek Emperor,WHO,de,1
The Flood of Mars,WHO,de,1
"The Master, Formed Anew",WHO,de,1
"The Master, Gallifrey's End",WHO,de,1
"The Master, Mesmerist",WHO,de,1
"The Master, Multiplied",WHO,de,1
The Rani,WHO,de,1
The Second Doctor,WHO,de,1
The Sound of Drums,WHO,de,1
The Toymaker's Trap,WHO,de,1
The Valeyard,WHO,de,1
This Is How It Ends,WHO,de,1
Thought Vessel,DSC,de,1
Thriving Moor,DSC,de,1
Time Reaper,WHO,de,1
Treasure,TWHO,de,1
Vashta Nerada,WHO,de,1
Vislor Turlough,WHO,de,1
Wayfarer's Bauble,M3C,de,1
Weeping Angel,WHO,de,1
Wound Reflection,2XM,de,1
Zygon Infiltrator,WHO,de,1
