Name,Set code,Language,Quantity
Boilerbilges Ripper,DSK,de,1
"Braids, Arisen Nightmare",DSC,de,1
Clammy Prowler,DSK,de,1
Counterspell,DSC,en,1
Cryptid Inspector,DSK,de,1
Daggermaw Megalodon,DSK,de,1
Defiled Crypt // Cadaver Lab,DSK,de,1
Emerge from the Cocoon,DSK,de,1
Erratic Apparition,DSK,de,1
Fanatic of the Harrowing,DSK,de,1
Glassworks // Shattered Yard,DSK,de,1
Glimmer,TDSK,de,1
Grand Entryway // Elegant Rotunda,DSK,de,1
Infernal Phantom,DSK,de,1
Innocuous Rat,DSK,de,1
Insidious Fungus,DSK,de,1
Keys to the House,DSK,de,1
Leyline of Hope,DSK,en,1
Malevolent Chandelier,DSK,de,1
"Marvin, Murderous Mimic",DSK,de,1
Resurrected Cultist,DSK,de,1
Rite of the Moth,DSK,de,1
Say Its Name,DSK,de,1
Shepherding Spirits,DSK,de,1
"Syr Konrad, the Grim",DSC,de,1
Temple of Silence,DRC,de,1
Trial of Agony,DSK,de,1
Under the Skin,DSK,de,1
Underwater Tunnel // Slimy Aquarium,DSK,de,1
Unwilling Vessel,DSK,de,1
Walk-In Closet // Forgotten Cellar,DSK,de,1
Wickerfolk Thresher,DSK,de,2
