Name,Set code,Language,Quantity
Abundant Growth,PIP,de,1
Acquired Mutation,PIP,de,1
Agility Bobblehead,PIP,de,1
All That Glitters,PIP,de,1
Almost Perfect,PIP,de,1
Animal Friend,PIP,de,1
Arcane Signet,PIP,de,1
Armory Paladin,PIP,de,1
Ash Barrens,PIP,de,1
Basilisk Collar,PIP,de,1
Behemoth Sledge,PIP,de,1
Bighorner Rancher,PIP,de,1
Blasphemous Act,PIP,de,1
Bloodforged Battle-Axe,PIP,de,1
Brass Knuckles,PIP,de,1
Break Down,PIP,de,1
Brotherhood Outcast,PIP,de,1
Buried Ruin,PIP,de,1
"Cait, Cage Brawler",PIP,de,1
Canopy Vista,PIP,de,1
"Cass, Hand of Vengeance",PIP,de,1
Champion's Helm,PIP,de,1
Chaos Warp,PIP,de,1
Charisma Bobblehead,PIP,en,1
Cinder Glade,PIP,de,1
Clifftop Retreat,PIP,de,1
"Codsworth, Handy Helper",PIP,de,1
Command Tower,PIP,de,1
Commander Sofia Daguerre,PIP,de,1
Copy,TPIP,de,2
Crimson Caravaneer,PIP,de,1
"Dogmeat, Ever Loyal",PIP,de,1
"Duchess, Wayward Tavernkeep",PIP,de,1
"Duchess, Wayward Tavernkeep",PIP,en,1
Endurance Bobblehead,PIP,en,1
Evolving Wilds,PIP,de,1
Exotic Orchard,PIP,de,1
Explorer's Scope,PIP,de,1
Fertile Ground,PIP,de,1
Fireshrieker,PIP,de,1
Food,TPIP,de,2
Grim Reaper's Sprint,PIP,de,1
Gunner Conscript,PIP,de,1
Heroic Intervention,PIP,de,1
Human Soldier,TPIP,de,1
Ian the Reckless,PIP,de,1
Idolized,PIP,de,1
Inventory Management,PIP,de,1
Jungle Shrine,PIP,de,1
Junk,TPIP,de,2
Junk Jet,PIP,de,1
Junktown,PIP,de,1
Mantle of the Ancients,PIP,de,1
Mariposa Military Base,PIP,en,1
Masterwork of Ingenuity,PIP,de,1
Mechanized Production,PIP,en,1
Megaton's Fate,PIP,de,1
Mister Gutsy,PIP,de,1
"Moira Brown, Guide Author",PIP,de,1
Mossfire Valley,PIP,de,1
Path of Ancestry,PIP,de,1
Path to Exile,PIP,de,1
Perception Bobblehead,PIP,de,1
Pip-Boy 3000,PIP,de,1
Pre-War Formalwear,PIP,de,1
"Preston Garvey, Minuteman",PIP,de,1
Puresteel Paladin,PIP,de,1
Radiation,TPIP,de,4
Rancor,PIP,de,1
Roadside Reliquary,PIP,de,1
Rogue's Passage,PIP,de,1
Rootbound Crag,PIP,de,1
Scattered Groves,PIP,de,1
Scavenger Grounds,PIP,de,1
Settlement,TPIP,de,2
Sheltered Thicket,PIP,de,1
Silver Shroud Costume,PIP,de,1
Single Combat,PIP,de,1
Sol Ring,PIP,de,1
Squirrel,TPIP,de,2
Squirrel Nest,PIP,de,1
Sticky Fingers,PIP,de,1
Strength Bobblehead,PIP,en,1
Strong Back,PIP,de,1
Sungrass Prairie,PIP,de,1
Sunpetal Grove,PIP,de,1
Sunscorched Divide,PIP,de,1
Super Mutant Scavenger,PIP,de,1
Swiftfoot Boots,PIP,de,1
Temple of Abandon,PIP,de,1
Temple of Plenty,PIP,de,1
Temple of the False God,PIP,de,1
Temple of Triumph,PIP,de,1
Terramorphic Expanse,PIP,de,1
"Three Dog, Galaxy News DJ",PIP,de,1
Treasure,TPIP,de,4
Valorous Stance,PIP,de,1
Vault 101: Birthday Party,PIP,de,1
Vault 13: Dweller's Journey,PIP,en,1
Vault 21: House Gambit,PIP,de,1
"Veronica, Dissident Scribe",PIP,de,1
Wasteland Survival Guide,TPIP,de,1
Well Rested,PIP,de,1
Wild Growth,PIP,de,1
