Name,Set code,Language,Quantity
Adelbert Steiner,FIN,de,1
Adventurer's Inn,FIN,de,2
Aerith Gainsborough,FIN,de,1
Aerith Rescue Mission,FIN,de,1
Al Bhed Salvagers,FIN,de,1
Alphinaud Leveilleur,FIC,de,1
Angel of the Ruins,FIC,de,1
Angelo,TFIN,de,1
Anger,FIC,de,1
Arcane Signet,FIC,de,1
Archfiend of Depravity,FIC,de,1
Ash Barrens,FIC,de,1
Auron's Inspiration,FIN,de,2
Balamb T-Rexaur,FIN,de,1
"Banon, the Returners' Leader",FIC,de,1
"Baron, Airship Kingdom",FIN,de,2
Battlefield Forge,FIC,de,1
Bedevil,FIC,de,1
Big Score,FIC,de,1
Bird,TFIN,de,1
Black Mage's Rod,FIN,de,4
Black Waltz No. 3,FIN,de,1
Blitzball Shot,FIN,de,2
Capital City,FIN,de,1
"Celes, Rune Knight",FIC,de,1
Chocobo Kick,FIN,de,1
Chocobo Knights,FIC,de,1
Clifftop Retreat,FIC,de,1
Cloudbound Moogle,FIN,de,1
Coin of Fate,FIC,de,1
Coliseum Behemoth,FIN,de,3
Combustible Gearhulk,FIC,de,1
Command Tower,FIC,de,1
Commander's Sphere,FIC,de,1
Commune with Beavers,FIN,de,1
Copy,TFIN,de,4
Coral Sword,FIN,de,1
Cornered by Black Mages,FIN,de,2
Crackling Doom,FIC,de,1
"Cyan, Vengeful Samurai",FIC,de,1
Dark Confidant,FIN,de,1
Darkstar,TFIN,de,1
Demolition Field,FIC,de,1
Desolate Mire,FIC,de,1
Dragonskull Summit,FIC,de,1
Dragoon's Lance,FIN,de,1
"Edgar, Master Machinist",FIC,de,1
Espers to Magicite,FIC,de,1
Evolving Wilds,FIC,de,1
"Exdeath, Void Warlock // Neo Exdeath, Dimension's End",FIN,de,1
Exotic Orchard,FIC,de,1
"Fang, Fearless l'Cie",FIN,de,1
Farseek,FIC,de,1
Fate of the Sun-Cryst,FIN,de,3
Fetid Heath,FIC,de,1
Fight On!,FIN,de,2
Flayer of the Hatebound,FIC,de,1
Foreboding Ruins,FIC,de,1
Freya Crescent,FIN,de,1
Furycalm Snarl,FIC,de,1
Gaelicat,FIN,de,1
"Garland, Knight of Cornelia // Chaos, the Endless",FIN,de,1
"Gau, Feral Youth",FIC,de,1
General Leo Cristophe,FIC,de,1
Genji Glove,FIN,de,1
Geothermal Bog,FIC,de,1
"Gilgamesh, Master-at-Arms",FIN,de,2
"Gogo, Mysterious Mime",FIC,de,1
"Gohn, Town of Ruin",FIN,de,1
Graven Cairns,FIC,de,1
"Guadosalam, Farplane Gateway",FIN,de,1
Gysahl Greens,FIN,de,1
