Name,Set code,Language,Quantity
Aethertide Whale,DRC,en,1
Angelic Captain,BFZ,en,1
"Ashad, the Lone Cyberman",WHO,en,1
Dragon Throne of Tarkir,KTK,en,1
Flickerform,CMA,en,1
Guild Feud,RTR,en,1
High Sentinels of Arashin,MOC,en,1
Imskir Iron-Eater,MH3,en,1
Nightshade Peddler,AVR,en,1
"Oran-Rief, the Vastwood",BLC,en,1
Polis Crusher,THS,en,1
Revel of the Fallen God,JOU,en,1
Righteous Authority,C18,en,1
Sever the Bloodline,INR,en,1
Spawnwrithe,DDM,en,1
Sphinx of Uthuun,CMR,en,1
Tenth District Hero,MKM,en,1
Terastodon,M3C,en,1
Territorial Gorger,KLD,en,1
Tidal Force,C13,en,1
"Torbran, Thane of Red Fell",ELD,en,1
Ugin's Insight,M3C,en,1
Underworld Connections,VOC,en,1
Wildcall,FRF,en,1
