Name,Set code,Language,Quantity
Jungle Hollow,FDN,de,1
Tolarian Terror,FDN,de,2
Fleeting Distraction,FDN,de,4
Hare Apparent,FDN,de,2
Resolute Reinforcements,FDN,de,1
Goblin Negotiation,FDN,de,1
Swiftblade Vindicator,FDN,de,1
Banishing Light,FDN,de,1
"Niv-Mizzet, Visionary",FDN,de,1
Dwynen's Elite,FDN,de,2
Sure Strike,FDN,de,1
Burglar Rat,FDN,de,2
Revenge of the Rats,FDN,de,1
Eaten Alive,INR,de,2
Involuntary Employment,FDN,de,1
Ambush Wolf,FDN,de,1
Helpful Hunter,FDN,de,3
Nessian Hornbeetle,FDN,de,1
Divine Resilience,FDN,de,1
Empyrean Eagle,FDN,de,1
Secluded Courtyard,FDN,de,1
Soldier,TFDN,de,1
Rabbit,TFDN,de,1
Faerie,TFDN,de,3
Fish,TFDN,de,1
Vengeful Bloodwitch,FDN,de,2
Sylvan Scavenging,FDN,de,2
An Offer You Can't Refuse,FDN,de,1
Firespitter Whelp,FDN,de,3
Mischievous Mystic,FDN,de,2
"Ruby, Daring Tracker",FDN,de,2
Vampire Soulcaller,FDN,de,2
Fleeting Flight,FDN,de,1
Cackling Prowler,FDN,de,2
Sower of Chaos,FDN,de,1
Macabre Waltz,FDN,de,1
Mocking Sprite,FDN,de,1
Dazzling Angel,FDN,de,2
"Zul Ashur, Lich Lord",FDN,de,1
Squad Rallier,FDN,de,3
Spitfire Lagac,FDN,de,3
Painful Quandary,FDN,de,1
Burnished Hart,FDN,de,1
Shivan Dragon,FDN,de,1
Tragic Banshee,FDN,de,1
Axgard Cavalry,FDN,de,2
Fanatical Firebrand,FDN,de,1
Pilfer,FDN,de,1
Goblin Boarders,FDN,de,2
Bake into a Pie,FDN,de,1
Uncharted Voyage,FDN,de,2
Prideful Parent,FDN,de,2
Giant Growth,FDN,de,2
Scoured Barrens,FDN,de,1
Quick-Draw Katana,FDN,de,3
Consuming Aberration,FDN,de,1
Inspiring Call,FDN,de,1
Youthful Valkyrie,FDN,de,1
Faebloom Trick,FDN,de,1
Perforating Artist,FDN,de,1
Crypt Feaster,FDN,de,1
Armasaur Guide,FDN,de,1
Incinerating Blast,FDN,de,2
Stab,FDN,de,1
Strix Lookout,FDN,de,1
Cathar Commando,INR,de,1
Beast-Kin Ranger,FDN,de,2
Powerstone,TBRO,de,1
Soldier,TBRO,de,1
Human,TFDN,de,2
Knight,TFDN,de,2
Treasure,TFDN,de,4
Food,TFDN,de,2
Savannah Lions,FDN,de,1
Leonin Skyhunter,FDN,de,1
Felidar Savior,FDN,de,2
Angelic Edict,FDN,de,1
Jazal Goldmane,FDN,de,1
Pacifism,FDN,de,1
Ingenious Leonin,FDN,de,1
Leonin Vanguard,FDN,de,1
Moment of Triumph,FDN,de,1
Elspeth's Smite,FDN,de,1
Vampire Interloper,FDN,de,1
Vampire Spawn,FDN,de,1
Moment of Craving,FDN,de,1
Highborn Vampire,FDN,de,1
Untamed Hunger,FDN,de,1
Bloodtithe Collector,FDN,de,1
Crossway Troublemakers,FDN,de,1
Hero's Downfall,FDN,de,2
Vampire Neonate,FDN,de,1
Offer Immortality,FDN,de,1
Stromkirk Bloodthief,FDN,de,1
Uncharted Haven,FDN,de,10
Ancestor Dragon,FDN,de,1
Ajani's Pridemate,FDN,de,1
Adamant Will,FDN,de,1
Bishop's Soldier,FDN,de,1
Deadly Riposte,FDN,de,1
Herald of Faith,FDN,de,1
Inspiring Overseer,FDN,de,1
Prayer of Binding,FDN,de,1
Twinblade Paladin,FDN,de,1
Hinterland Sanctifier,FDN,de,1
Corsair Captain,FDN,de,1
Bigfin Bouncer,FDN,de,2
Skyship Buccaneer,FDN,de,1
Brineborn Cutthroat,FDN,de,1
Spectral Sailor,FDN,de,1
Cancel,FDN,de,1
Eaten by Piranhas,FDN,de,1
Kitesail Corsair,FDN,de,1
Opt,FDN,de,1
Storm Fleet Spy,FDN,de,1
Pirate's Cutlass,FDN,de,1
Mystic Archaeologist,FDN,de,1
Arcane Epiphany,FDN,de,2
Clinquant Skymage,FDN,de,1
Erudite Wizard,FDN,de,2
Icewind Elemental,FDN,de,1
Burrog Befuddler,FDN,de,1
Exclusion Mage,FDN,de,1
Into the Roil,FDN,de,1
Quick Study,FDN,de,1
Starlight Snare,FDN,de,1
Cat,TFDN,de,1
Elf Warrior,TFDN,de,1
Goblin,TFDN,de,2
Zombie,TINR,de,3
Dropkick Bomber,FDN,de,1
Frenzied Goblin,FDN,de,2
Battle-Rattle Shaman,FDN,de,1
Dragon Fodder,FDN,de,1
Goblin Oriflamme,FDN,de,1
Goblin Smuggler,FDN,de,1
Kindled Fury,FDN,de,1
Raging Redcap,FDN,de,1
Swab Goblin,FDN,de,1
Volley Veteran,FDN,de,1
Goblin Firebomb,FDN,de,1
Death Baron,FDN,de,1
Hungry Ghoul,FDN,de,2
Diregraf Ghoul,FDN,de,1
Reassembling Skeleton,FDN,de,2
Cemetery Recruitment,FDN,de,1
Crow of Dark Tidings,FDN,de,1
Deadly Plot,FDN,de,1
Maalfeld Twins,FDN,de,1
Skeleton Archer,FDN,de,1
Suspicious Shambler,FDN,de,1
Undying Malice,FDN,de,1
Aggressive Mammoth,FDN,de,1
Bite Down,FDN,de,2
Mild-Mannered Librarian,FDN,de,2
Wildwood Scourge,FDN,de,1
Bear Cub,FDN,de,1
Biogenic Upgrade,FDN,de,1
Druid of the Cowl,FDN,de,1
Magnigoth Sentry,FDN,de,1
New Horizons,FDN,de,1
Thrashing Brontodon,FDN,de,1
Elvish Archdruid,FDN,de,1
Elvish Regrower,FDN,de,1
Felling Blow,FDN,de,1
Broken Wings,FDN,de,1
Llanowar Elves,FDN,de,2
Snakeskin Veil,FDN,de,1
Joraga Invocation,FDN,de,1
Tajuru Pathwarden,FDN,de,1
Thornweald Archer,FDN,de,1
Wildheart Invoker,FDN,de,1
Terror of Mount Velus,FDN,de,1
Fiery Annihilation,FDN,de,2
Carnelian Orb of Dragonkind,FDN,de,1
Dragonlord's Servant,FDN,de,1
Fire Elemental,FDN,de,1
Kargan Dragonrider,FDN,de,1
Rapacious Dragon,FDN,de,1
Scorching Dragonfire,FDN,de,1
Seize the Spoils,FDN,de,1
Skyraker Giant,FDN,de,1
Swiftwater Cliffs,FDN,de,1
Heraldic Banner,FDN,de,1
"Giada, Font of Hope",FDN,de,1
Exsanguinate,FDN,de,2
Dauntless Veteran,FDN,de,1
Quakestrider Ceratops,FDN,de,1
Campus Guide,FDN,de,2
Gleaming Barrier,FDN,de,2
Treetop Snarespinner,FDN,de,2
Courageous Goblin,FDN,de,1
Fake Your Own Death,FDN,de,1
Run Away Together,FDN,de,1
Healer's Hawk,FDN,de,1
Grow from the Ashes,FDN,de,1
Blossoming Sands,FDN,de,1
Authority of the Consuls,FDN,de,2
Firebrand Archer,FDN,de,1
Lightshell Duo,FDN,de,1
Infestation Sage,FDN,de,1
Battlesong Berserker,FDN,de,1
Guarded Heir,FDN,de,1
"Kykar, Zephyr Awakener",FDN,de,1
Gnarlid Colony,FDN,de,1
Goblin Surprise,FDN,de,1
Luminous Rebuke,FDN,de,1
Think Twice,INR,de,1
Marauding Blight-Priest,FDN,de,1
Imprisoned in the Moon,INR,de,1
Preposterous Proportions,FDN,de,1
Rugged Highlands,FDN,de,1
Crackling Cyclops,FDN,de,1
Apothecary Stomper,FDN,de,1
Refute,FDN,de,1
Fishing Pole,FDN,de,1
Heroic Reinforcements,FDN,de,1
Ravenous Amulet,FDN,de,1
Condemn,SPG,de,1
"Lathril, Blade of the Elves",FDN,de,1
Gutless Plunderer,FDN,de,1
Thrill of Possibility,FDN,de,1
Bushwhack,FDN,de,1
Overrun,FDN,de,1
Mischievous Pup,FDN,de,1
Blanchwood Armor,FDN,de,1
Drake Hatcher,FDN,de,1
Insect,TFDN,de,1
Gorehorn Raider,FDN,de,1
Make Your Move,FDN,de,1
Grappling Kraken,FDN,de,1
Billowing Shriekmass,FDN,de,1
Aetherize,FDN,de,1
Brass's Bounty,FDN,de,1
Burst Lightning,FDN,de,1
Affectionate Indrik,FDN,de,1
Cat Collector,FDN,de,1
Dreadwing Scavenger,FDN,de,1
"Alesha, Who Laughs at Fate",FDN,de,1
Dismal Backwater,FDN,de,1
Wind-Scarred Crag,FDN,de,2
Witness Protection,FDN,de,2
Sanguine Syphoner,FDN,de,2
Vanguard Seraph,FDN,de,2
