Name,Set code,Language,Quantity
Abrade,INR,en,2
Abundant Growth,INR,de,1
Abundant Growth,INR,en,5
Abundant Maw,INR,en,2
Aim High,INR,de,2
Aim High,INR,en,3
Alchemist's Greeting,INR,de,1
Alchemist's Greeting,INR,en,1
Ambitious Farmhand // Seasoned Cathar,INR,en,1
Ambush Viper,INR,en,3
Ancestral Anger,INR,de,1
Ancestral Anger,INR,en,1
Angel's Tomb,INR,de,1
Angelic Purge,INR,en,4
Apothecary Geist,INR,en,1
"Archangel Avacyn // Avacyn, the Purifier",INR,en,1
Archghoul of Thraben,INR,en,1
Asylum Visitor,INR,en,1
Avacynian Priest,INR,de,1
Avacynian Priest,INR,en,3
Battleground Geist,INR,en,2
Bladestitched Skaab,INR,en,1
Blood,TINR,en,3
Blood Artist,INR,en,2
Blood Mist,INR,de,1
Blood Petal Celebrant,INR,en,2
Bloodmad Vampire,INR,en,2
Bloodtithe Harvester,INR,en,1
Boarded Window,INR,en,2
Borrowed Hostility,INR,de,1
Borrowed Hostility,INR,en,2
Bound by Moonsilver,INR,de,1
Bound by Moonsilver,INR,en,3
Bramble Wurm,INR,en,2
Burning Vengeance,INR,en,2
Butcher Ghoul,INR,en,3
Butcher's Cleaver,INR,en,1
Cackling Counterpart,INR,en,1
Captivating Vampire,INR,en,1
Cathar Commando,INR,en,2
Cathar's Call,INR,en,2
"Chandra, Dressed to Kill",INR,de,1
Clear Shot,INR,en,1
Clue,TEOC,en,2
Clue,TINR,de,1
Cobbled Lancer,INR,en,1
Cobbled Wings,INR,en,2
Collective Brutality,INR,de,1
Compelling Deterrence,INR,de,1
Compelling Deterrence,INR,en,1
Conduit of Storms // Conduit of Emrakul,INR,en,3
Conjurer's Closet,DRC,en,1
Covetous Castaway // Ghostly Castigator,INR,en,1
Crawl from the Cellar,INR,de,1
Crawl from the Cellar,INR,en,3
Crusader of Odric,INR,en,4
Cryptolith Rite,INR,en,1
Dauntless Cathar,INR,en,1
Dawnhart Disciple,INR,en,1
Deathcap Glade,INR,en,1
Delver of Secrets // Insectile Aberration,INR,de,1
Delver of Secrets // Insectile Aberration,INR,en,1
Demon,TINR,en,2
Demonic Taskmaster,INR,en,3
Demonmail Hauberk,INR,en,1
Deranged Assistant,INR,en,4
Desperate Farmer // Depraved Harvester,INR,en,2
Distended Mindbender,INR,en,1
Dreamroot Cascade,INR,en,1
Drogskol Shieldmate,INR,en,2
Duel for Dominance,INR,en,3
Duskwatch Recruiter // Krallenhorde Howler,INR,en,2
Eaten Alive,INR,de,1
Eaten Alive,INR,en,3
Eccentric Farmer,INR,de,1
Eccentric Farmer,INR,en,3
Ecstatic Awakener // Awoken Demon,INR,en,3
Edgar's Awakening,INR,de,1
Edgar's Awakening,INR,en,1
Elder Deep-Fiend,INR,en,1
Eldrazi Horror,TINR,de,1
Eldritch Evolution,INR,en,1
"Emrakul, the Promised End",INR,en,1
Epitaph Golem,INR,en,2
Essence Flux,INR,en,3
Faith Unbroken,INR,de,1
Faith Unbroken,INR,en,1
Faithless Looting,INR,de,1
Faithless Looting,TDC,en,2
Fiend Hunter,INR,en,1
Fleshtaker,INR,en,1
Forbidden Alchemy,TDC,en,1
Galvanic Iteration,INR,de,1
Galvanic Juggernaut,INR,en,1
Gather the Townsfolk,INR,de,1
Gather the Townsfolk,INR,en,4
Geier Reach Bandit // Vildin-Pack Alpha,INR,en,1
Ghoultree,INR,en,2
Gisa and Geralf,INR,en,1
Gisa's Bidding,INR,de,1
Gisa's Bidding,INR,en,2
"Gisela, the Broken Blade",INR,en,1
Graf Rats,INR,en,1
Grapple with the Past,TDC,en,1
Grizzled Angler // Grisly Anglerfish,INR,de,1
Grizzled Angler // Grisly Anglerfish,INR,en,1
Grizzly Ghoul,INR,en,1
Groundskeeper,EOC,en,1
Guardian of Pilgrims,INR,de,1
Guardian of Pilgrims,INR,en,2
Hanweir Watchkeep // Bane of Hanweir,INR,en,1
Harvest Hand // Scrounged Scythe,INR,en,1
Hinterland Logger // Timber Shredder,INR,de,1
Hinterland Logger // Timber Shredder,INR,en,2
Howlpack Resurgence,INR,en,1
Human,TINR,de,1
Human Cleric,TINR,en,2
Human Soldier,TINR,de,2
Human Soldier,TINR,en,2
Hungry Ridgewolf,INR,en,2
Imprisoned in the Moon,INR,de,1
Imprisoned in the Moon,INR,en,4
Indulgent Aristocrat,INR,en,1
Infernal Grasp,INR,en,1
Insect,TINR,en,1
Inspiring Captain,INR,en,1
Intangible Virtue,INR,en,1
Intrepid Provisioner,INR,en,3
Invasion of Innistrad // Deluge of the Dead,INR,en,1
It of the Horrid Swarm,INR,en,2
Join the Dance,INR,en,1
Killing Wave,INR,en,1
Laboratory Maniac,INR,en,1
Lantern Bearer // Lanterns' Lift,INR,de,1
Lantern Bearer // Lanterns' Lift,INR,en,2
Lightning Axe,INR,en,1
Lightning Mauler,INR,en,1
Lumberknot,INR,de,1
Lunarch Mantle,INR,en,3
Lunarch Veteran // Luminous Phantom,INR,en,1
Lupine Prototype,INR,en,1
Maelstrom Pulse,INR,en,1
Mass Hysteria,INR,en,1
Mausoleum Guard,INR,en,2
Mayor of Avabruck // Howlpack Alpha,INR,en,1
Mentor of the Meek,INR,en,1
Midnight Scavengers,INR,en,1
Mist Raven,INR,de,1
Moldgraf Millipede,INR,en,4
Morkrut Banshee,INR,en,2
Murderous Compulsion,INR,en,1
Nebelgast Herald,INR,en,1
