Name,Set code,Language,Quantity
Akki Ronin,NEO,en,1
Armguard Familiar,NEO,en,1
Awakened Awareness,NEO,en,1
Behold the Unspeakable // Vision of the Unspeakable,NEO,en,1
Bloodfell Caves,NEO,en,1
Born to Drive,NEO,en,1
Clawing Torment,NEO,en,1
Dokuchi Silencer,NEO,en,1
Dragonspark Reactor,NEO,en,1
Dramatist's Puppet,NEO,en,1
Eiganjo Exemplar,NEO,en,2
Fang of Shigeki,NEO,en,1
Futurist Sentinel,NEO,en,1
Golden-Tail Disciple,NEO,en,1
Guardians of Oboro,NEO,en,2
Historian's Wisdom,NEO,en,1
Honden of Infinite Rage,EMA,en,1
Hotshot Mechanic,NEO,en,1
"Kairi, the Swirling Sky",NEO,en,1
Kitsune Ace,NEO,en,1
Life of Toshiro Umezawa // Memory of Toshiro,NEO,en,1
Lizard Blades,NEO,en,1
Mirror Box,NEO,en,1
Mnemonic Sphere,NEO,en,1
Ninja's Kunai,NEO,en,1
"Norika Yamazaki, the Poet",NEO,en,1
Ogre-Head Helm,NEO,en,1
Okiba Reckoner Raid // Nezumi Road Captain,NEO,en,1
Patchwork Automaton,NEO,en,1
Peerless Samurai,NEO,en,1
Reckoner's Bargain,NEO,en,1
Reinforced Ronin,NEO,en,2
Return to Action,NEO,en,1
Roaring Earth,NEO,en,2
Scrapyard Steelbreaker,NEO,en,1
Selfless Samurai,NEO,en,1
Silver-Fur Master,NEO,en,1
Spirited Companion,NEO,en,1
Storyweave,NEO,en,1
The Fall of Lord Konda // Fragment of Konda,NEO,en,1
Undercity Scrounger,NEO,en,1
Virus Beetle,NEO,en,1
Wind-Scarred Crag,NEO,en,1
