Name,Set code,Language,Quantity
Liquimetal Coating,CM2,de,1
Tocasia's Welcome,BRO,de,1
Static Net,BRO,de,1
Thran Power Suit,BRO,de,1
Take Flight,BRO,de,1
Penregon Strongbull,BRO,de,1
Tocasia's Onulet,BRO,de,1
Fog of War,BRO,de,1
Disenchant,BRO,de,1
Stern Lesson,BRO,de,1
Mishra's Juggernaut,BRO,de,1
Hoarding Recluse,BRO,de,1
Overwhelming Remorse,BRO,de,1
Bone Saw,CON,de,1
Terisian Mindbreaker,BRO,de,1
Yotian Frontliner,BRO,de,1
Spotter Thopter,BRO,de,1
Steel Exemplar,BRO,de,1
Combat Courier,BRO,de,1
Tomakul Scrapsmith,BRO,de,1
Aeronaut's Wings,BRO,de,1
Trench Stalker,BRO,de,1
Dredging Claw,BRO,de,1
Mightstone's Animation,BRO,de,1
Yotian Medic,BRO,de,1
Unleash Shell,BRO,de,1
Rust Goliath,BRO,de,1
Gixian Skullflayer,BRO,de,1
Powerstone,TBRO,de,7
Carrion Locust,BRO,de,1
Foundry Inspector,CMM,de,1
"Urza, Prince of Kroog",BRO,de,2
"Urza, Powerstone Prodigy",BRO,de,1
Cradle Clearcutter,BRO,de,1
Thran Vigil,BRO,de,1
Powerstone Fracture,BRO,de,1
Urza's Rebuff,BRO,de,1
Raze to the Ground,BRO,de,1
Energy Refractor,BRO,de,1
Scrapwork Rager,BRO,de,1
Weakstone's Subjugation,BRO,de,2
Fallaji Chaindancer,BRO,de,1
Giant Growth,BRO,de,2
Survivor of Korlis,BRO,de,2
Sigil of Valor,ORI,de,1
Transmogrant's Crown,BRO,de,1
Fallaji Dragon Engine,BRO,de,1
Recruitment Officer,BRO,de,1
Fallaji Vanguard,BRO,de,1
Evolving Wilds,BRO,de,2
Fallaji Archaeologist,BRO,de,1
Emergency Weld,BRO,de,1
Ambush Paratrooper,BRO,de,1
Shoot Down,BRO,de,1
Ashnod's Intervention,BRO,de,1
Deadly Riposte,BRO,de,1
Excavation Explosion,BRO,de,1
Titania's Command,BRO,de,1
Mishra's Bauble,BRR,de,1
"Gwenna, Eyes of Gaea",BRO,de,1
Mishra's Research Desk,BRO,de,1
Yotian Tactician,BRO,de,1
Ashnod's Harvester,BRO,de,1
Citanul Stalwart,BRO,de,1
Swiftgear Drake,BRO,de,1
Loran's Escape,BRO,de,1
Goblin Firebomb,BRO,de,1
Curate,BRO,de,1
