Name,Set code,Language,Quantity
Acquire,5DN,de,1
Adder-Staff Boggart,LRW,de,1
Advanced Hoverguard,5DN,de,1
Aether Spellbomb,MMA,de,1
Aether Vial,DST,de,1
Aetherplasm,RVR,de,1
Air Elemental,8ED,de,1
Air Elemental,W17,de,1
"Akki Lavarunner // Tok-Tok, Volcano Born",CHK,de,1
Akki Underminer,CHK,de,1
Amoeboid Changeling,LRW,de,1
Ancient Den,C21,de,2
Angel of Mercy,9ED,de,2
Angelic Page,DVD,de,3
Aquamorph Entity,DDN,de,1
Aquastrand Spider,MM2,de,1
Arcane Spyglass,DST,de,2
Arcbound Bruiser,DST,de,2
Arcbound Hybrid,DST,de,2
Arcbound Slith,HOP,de,1
Arcbound Stinger,MMA,de,1
Arcbound Worker,MMA,de,1
Archivist,9ED,de,1
Arcum Dagsson,2XM,de,1
Armored Galleon,P02,de,1
Arrest,MRD,de,2
Ashen-Skin Zubera,CHK,de,3
Ashes to Ashes,4ED,de,1
Assault Zeppelid,DIS,de,2
Auriok Glaivemaster,DST,de,4
Auriok Salvagers,2XM,de,1
Auriok Siege Sled,DST,de,2
Auriok Steelshaper,MRD,de,1
Auriok Windwalker,5DN,de,1
Aurora Eidolon,DIS,de,4
Aven Augur,FUT,de,1
Aven Fisher,DMR,de,4
Aven Flock,9ED,de,2
Aven Riftwatcher,TSR,de,3
Aven Windreader,10E,de,1
Awe Strike,MRD,de,1
Azorius Aethermage,DIS,de,1
Azorius Chancery,DSC,de,4
Azorius First-Wing,DIS,de,4
Azorius Guildmage,GK2,de,2
Azorius Herald,GK2,de,1
Azorius Ploy,DIS,de,1
Azorius Signet,ARC,de,2
Azure Drake,M11,de,1
Banshee's Blade,MRD,de,1
Barbarian Riftcutter,RAV,de,2
Barbed Lightning,DST,de,1
Bathe in Light,CMA,de,1
Battering Sliver,TSR,de,2
Battle-Mad Ronin,CHK,de,1
Battlefield Forge,BLC,de,1
Beacon Hawk,DIS,de,5
Beacon of Destruction,DDS,de,1
Beastmaster's Magemark,GPT,de,1
Befoul,CHK,de,1
Belltower Sphinx,M12,de,2
Benevolent Ancestor,IMA,de,3
Binding Grasp,CST,de,1
Blazethorn Scarecrow,SHM,de,1
Blessed Reversal,8ED,de,1
Blightspeaker,TSR,de,1
Blizzard Specter,IMA,de,1
Blood Rites,CHK,de,2
Blood Speaker,CHK,de,1
Bog Serpent,PLC,de,1
Bogardan Lancer,FUT,de,1
Boggart Loggers,LRW,de,1
Boggart Mob,LRW,de,1
Bonesplitter,CMR,de,2
Boomerang,6ED,de,1
Boomerang,DPA,de,3
Boreal Centaur,CSP,de,1
Boreal Shelf,CSP,de,2
Boros Fury-Shield,RAV,de,2
Boros Garrison,CLU,de,1
Bottle Gnomes,CM2,de,1
Brace for Impact,DIS,de,1
Brain Pry,DIS,de,1
