Name,Set code,Language,Quantity
Aberrant Return,ECC,de,1
Abundant Countryside,ECC,de,1
Abundant Growth,INR,de,1
Adept Watershaper,ECL,de,1
Ancient Ziggurat,CON,de,1
Appeal to Eirdu,ECL,de,2
Aquitect's Defenses,ECL,de,2
Arcane Signet,ECC,de,1
"Ashling, the Limitless",ECC,de,1
Ashling's Command,ECL,de,1
Assert Perfection,ECL,de,1
Auntie's Sentence,ECL,de,2
Avenger of Zendikar,TDC,de,1
Bane of Progress,CMA,de,1
Belonging,ECC,de,1
Bile-Vial Boggart,ECL,de,1
Blasphemous Act,EOC,de,1
Blight Rot,ECL,de,4
Blighted Blackthorn,ECL,de,1
Blossombind,ECL,de,1
Blossoming Defense,ECL,de,2
Boggart Prankster,ECL,de,1
Bogslither's Embrace,ECL,de,3
Boldwyr Aggressor,ECL,de,1
Boneclub Berserker,ECL,de,1
Boulder Dash,ECL,de,1
Brambleback Brute,ECL,de,2
Bre of Clan Stoutarm,ECL,de,1
"Brigid, Clachan's Heart // Brigid, Doun's Mind",ECL,de,2
Bristlebane Battler,ECL,de,1
Burdened Stoneback,ECL,de,1
Burning Curiosity,ECL,de,1
Cavalier of Thorns,M20,de,1
Champion of the Clachan,ECL,de,1
Champions of the Perfect,ECL,de,1
Champions of the Shoal,ECL,de,1
Changeling Wayfinder,ECL,de,1
Chaos Spewer,ECL,de,1
Chitinous Graspling,ECL,de,2
Chomping Changeling,ECL,de,2
Chromatic Lantern,M3C,de,1
Cinder Strike,ECL,de,1
Collective Inferno,ECL,de,2
Command Tower,ECC,de,1
Copy,TECC,de,6
Creakwood Safewright,ECL,de,2
Cream of the Crop,MOR,de,1
Crib Swap,ECL,de,1
Crossroads Watcher,ECL,de,2
Cultivate,EOC,de,1
Darkness Descends,ECL,de,2
Dawn's Light Archer,ECL,de,1
Dawnhand Eulogist,ECL,de,2
Deceit,ECL,de,1
Descendants' Fury,CMM,de,1
Distant Melody,ECC,de,1
Dose of Dawnglow,ECL,de,1
Dream Seizer,ECL,de,2
Eclipsed Boggart,ECL,de,1
Eclipsed Elf,ECL,de,1
Eclipsed Flamekin,ECL,de,1
Eclipsed Kithkin,ECL,de,1
Eclipsed Merrow,ECL,de,3
"Eirdu, Carrier of Dawn // Isilu, Carrier of Twilight",ECL,de,1
Elder Auntie,ECL,de,4
Elemental,TBLC,de,3
Elemental,TECC,de,2
Elemental,TEOC,de,3
Elemental Spectacle,ECC,de,1
Elf,TECL,de,2
Elk,TECL,de,1
Endurance,ECC,de,1
Enraged Flamecaster,ECL,de,1
Exotic Orchard,EOC,de,1
Explosive Prodigy,ECL,de,2
Faeburrow Elder,ECC,de,1
Faerie,TECL,de,2
Feed the Flames,ECL,de,2
Feisty Spikeling,ECL,de,3
Fellwar Stone,TDC,de,1
Fertile Ground,AFC,de,1
Firdoch Core,ECL,de,2
Flame-Chain Mauler,ECL,de,3
Flamebraider,ECL,de,2
Flamekin Gildweaver,ECL,de,1
Flamekin Village,CM2,de,1
Flitterwing Nuisance,ECL,de,1
Foraging Wickermaw,ECL,de,2
Foundation Breaker,MH2,de,1
Frontier Bivouac,TDM,de,1
Fury,ECC,de,1
Gallant Fowlknight,ECL,de,1
Gangly Stompling,ECL,de,2
Garruk's Uprising,FDN,de,1
Gathering Stone,ECL,de,1
Giantfall,ECL,de,1
Gilt-Leaf's Embrace,ECL,de,2
Glamermite,ECL,de,1
Glister Bairn,ECL,de,1
Goatnap,ECL,de,1
Goblin,TECL,de,3
Goldmeadow Nomad,ECL,de,1
Gravelgill Scoundrel,ECL,de,3
Graveshifter,ECL,de,1
Great Forest Druid,ECL,de,2
Greenwarden of Murasa,NCC,de,1
Gutsplitter Gang,ECL,de,1
Harmonized Crescendo,ECL,de,1
Haunting Voyage,KHM,de,1
Heirloom Auntie,ECL,de,1
Helix Pinnacle,SPG,de,1
Hoofprints of the Stag,BLC,de,1
Horde of Notions,MM2,de,1
Hovel Hurler,ECL,de,1
Illusion Spinners,ECL,de,1
Impolite Entrance,ECL,de,1
Impulsivity,ECC,de,1
Incandescent Soulstoke,MM2,de,1
Ingot Chewer,UMA,de,1
"Jegantha, the Wellspring",IKO,de,1
Jubilation,ECC,de,2
Jungle Shrine,OTC,de,1
Kinbinding,ECL,de,1
Kindred Summons,AFC,de,1
Kinsbaile Aspirant,ECL,de,1
Kithkin,TECL,de,6
Kodama's Reach,TDC,de,1
Kulrath Mystic,ECL,de,2
Kulrath Zealot,ECL,de,2
Lamentation,ECC,de,1
Liminal Hold,ECL,de,2
Loch Mare,ECL,de,1
Lofty Dreams,ECL,de,2
Lys Alana Dignitary,ECL,de,2
Lys Alana Informant,ECL,de,2
Maelstrom Wanderer,CMM,de,1
Mass of Mysteries,ECC,de,1
Meanders Guide,ECL,de,1
Merfolk,TECL,de,2
Midnight Tilling,ECL,de,1
Mirrormind Crown,ECL,de,1
Mistmeadow Council,ECL,de,1
Moonglove Extractor,ECL,de,1
Moonlit Lamenter,ECL,de,1
Morcant's Eyes,ECL,de,1
Morcant's Loyalist,ECL,de,2
Morningtide's Light,ECL,de,1
Mornsong Aria,ECL,de,1
"Muldrotha, the Gravetide",FDN,de,1
Mulldrifter,MKC,de,1
Mutavault,TECL,de,1
Nameless Inversion,ECL,de,1
Nightmare Sower,ECL,de,1
"Omnath, Locus of Rage",EOC,de,1
"Omnath, Locus of the Roil",M20,de,1
Omni-Changeling,ECL,de,1
Opal Palace,CMM,de,1
Opulent Palace,TDM,de,1
"Ozolith, the Shattered Spire",MOM,en,1
Path of Ancestry,TDC,de,1
Path to Exile,OTC,de,1
Personify,ECL,de,1
Plant,TECC,de,2
Prideful Feastling,ECL,de,1
Primal Beyond,MOR,de,1
Prismatic Undercurrents,ECL,de,1
Pyrrhic Strike,ECL,de,2
Raging Ravine,BLC,de,1
Rain-Slicked Copse,ECC,de,1
Reality Shift,TDC,de,1
Realmwalker,LCC,de,1
Reckless Ransacking,ECL,de,2
Reluctant Dounguard,ECL,de,1
Requiting Hex,ECL,de,1
Retched Wretch,ECL,de,1
Return of the Wildspeaker,M3C,de,1
Rhino Warrior,TMKC,de,2
Rime Chill,ECL,de,1
Rimefire Torque,ECL,de,1
Risen Reef,M20,de,1
Riverguard's Reflexes,ECL,de,1
Rooftop Percher,ECL,de,2
Run Away Together,ECL,de,2
Safewright Cavalry,ECL,de,4
Sandsteppe Citadel,TDM,de,1
Savage Lands,M3C,de,1
Scarblade Scout,ECL,de,2
Scarblade's Malice,ECL,de,2
Seaside Citadel,BLC,de,1
Secluded Courtyard,ECC,de,1
Selfless Safewright,ECL,de,1
"Selvala, Heart of the Wilds",M3C,de,1
Shapeshifter,TECL,de,4
Shatter the Sky,THB,de,1
Shimmercreep,ECL,de,1
Shimmerwilds Growth,ECL,de,1
Shinestriker,ECL,de,1
Shore Lurker,ECL,de,3
Shriekmaw,MKC,de,1
Silvergill Mentor,ECL,de,1
Silvergill Peddler,ECL,de,1
Sizzling Changeling,ECL,de,1
Slithermuse,MOR,de,1
Smokebraider,MM2,de,1
Sodden Verdure,ECC,de,1
Sol Ring,ECC,de,1
Soulbright Seeker,ECL,de,1
Spell Snare,ECL,de,1
Spiral into Solitude,ECL,de,2
Springleaf Parade,ECC,de,1
Spry and Mighty,ECL,de,1
Stalactite Dagger,ECL,de,3
Steam Vents,ECL,de,1
Stoic Grove-Guide,ECL,de,1
Stratosoarer,ECL,de,2
Subterfuge,ECC,de,1
Summit Sentinel,ECL,de,1
Sunderflock,ECL,de,1
Surly Farrier,ECL,de,2
Swat Away,ECL,de,1
"Tam, Mindful First-Year",ECL,de,1
Temple Garden,ECL,de,1
Temporal Cleansing,ECL,de,1
Tend the Sprigs,ECL,de,1
Thirst for Identity,ECL,de,1
Thoughtweft Charge,ECL,de,1
Thoughtweft Imbuer,ECL,de,1
Thoughtweft Lieutenant,ECL,de,1
Thriving Bluff,BLC,de,1
Thriving Grove,BLC,de,1
Thriving Heath,DSC,de,1
Thriving Isle,DSC,de,1
Thriving Moor,DSC,de,1
Timeless Lotus,DMU,de,1
Timid Shieldbearer,ECL,de,3
Titan of Industry,SNC,de,1
Treasure,TECL,de,8
Treefolk,TECL,de,1
Tributary Vaulter,ECL,de,1
Tweeze,ECL,de,1
Twilight Diviner,ECL,de,1
Twinflame Travelers,ECL,de,2
Unclaimed Territory,M3C,de,1
Unexpected Assistance,ECL,de,2
Unforgiving Aim,ECL,de,2
Unwelcome Sprite,ECL,de,1
Vernal Sovereign,CLU,de,1
Vinebred Brawler,ECL,de,2
Wanderbrine Preacher,ECL,de,1
Wanderbrine Trapper,ECL,de,1
Wanderwine Farewell,ECL,de,1
Wary Farmer,ECL,de,2
Wild Unraveling,ECL,de,2
Wildvine Pummeler,ECL,de,1
"Yarok, the Desecrated",M20,de,1
