Name,Set code,Language,Quantity
Alien Invasion,MSH,de,1
Atlantean Cavalry,MSH,de,2
"Beast, Erudite Aerialist",MSH,de,1
"Captain America, Wings of Freedom",MSH,de,1
Clue,TMSH,de,1
Dark Fortress,MSH,de,1
Decoy Ploy,MSH,de,1
Falcon's Wing Harness,MSH,de,1
Giant-Sized Flying Ant,MSH,de,1
Go Nuts!,MSH,de,1
H.E.R.B.I.E. Scout Unit,MSH,de,2
Hire a Crew,MSH,de,1
Hour of Defeat,MSH,de,1
HYDRA Assault Robot,MSH,de,1
HYDRA Troopers,MSH,de,1
Hydraulic Helper,MSH,de,1
"Iron Fist, Living Weapon",MSH,de,1
Ka-Zar of the Savage Land,MSH,de,1
Kree Commandos,MSH,de,1
Madame Hydra,MSH,de,1
"Moonstone, Harsh Mistress",MSH,de,1
"Ms. Marvel, Kamala Khan",MSH,de,1
Murdock's Crusade,MSH,de,1
"Okoye, Dora Milaje Leader",MSH,de,1
Punishing Punch,MSH,de,1
Pym Particles,MSH,de,1
Repulsor Blast,MSH,de,1
Roxxon Brutes,MSH,de,1
S.H.I.E.L.D. Deployment Drone,MSH,de,1
Serpent Specialist,MSH,de,1
Soldier,TMSH,de,2
"Speedball, New Warrior",MSH,de,1
The Masters of Evil,MSH,de,1
Thirst for Knowledge,MSH,de,1
Undercover Skrull,MSH,de,1
Vibranium Energy Daggers,MSH,de,1
Villain,TMSH,de,1
Vision of Love,MSH,de,1
Web Up,MSH,de,2
