Name,Set code,Language,Quantity
Alien Symbiosis,SPM,de,1
Amazing Acrobatics,SPM,de,4
Angry Rabble,SPM,de,4
"Arachne, Psionic Weaver",SPM,de,1
"Araña, Heart of the Spider",SPM,de,2
Aunt May,SPM,de,2
Bagel and Schmear,SPM,de,5
"Beetle, Legacy Criminal",SPM,de,5
"Black Cat, Cunning Thief",SPM,de,1
"Carnage, Crimson Chaos",SPM,de,1
"Chameleon, Master of Disguise",SPM,de,2
City Pigeon,SPM,de,4
Common Crook,SPM,de,4
Copy,TSPM,de,2
Cosmic Spider-Man,SPM,de,1
Costume Closet,SPM,de,2
Daily Bugle Building,SPM,de,2
Daily Bugle Reporters,SPM,de,4
Damage Control Crew,SPM,de,2
"Doc Ock, Sinister Scientist",SPM,de,5
Doc Ock's Henchmen,SPM,de,5
Doc Ock's Tentacles,SPM,de,1
"Doctor Octopus, Master Planner",SPM,de,1
Eerie Gravestone,SPM,de,5
Electro's Bolt,SPM,de,4
"Ezekiel Sims, Spider-Totem",SPM,de,2
"Flash Thompson, Spider-Fan",SPM,de,2
Flying Octobot,SPM,de,2
Food,TSPM,de,10
Gallant Citizen,SPM,de,4
"Green Goblin, Revenant",SPM,de,2
Grow Extra Arms,SPM,de,4
Guy in the Chair,SPM,de,5
Gwen Stacy // Ghost-Spider,SPM,de,1
Heroes' Hangout,SPM,de,1
Hide on the Ceiling,SPM,de,1
"Hobgoblin, Mantled Marauder",SPM,de,2
Hot Dog Cart,SPM,de,4
Human Citizen,TSPM,de,14
Illusion Villain,TSPM,de,2
Inner Demons Gangsters,SPM,de,5
"Iron Spider, Stark Upgrade",SPM,de,1
J. Jonah Jameson,SPM,de,1
Kapow!,SPM,de,5
Kraven the Hunter,SPM,de,1
"Kraven, Proud Predator",SPM,de,2
Kraven's Cats,SPM,de,4
"Lady Octopus, Inspired Inventor",SPM,de,1
"Living Brain, Mechanical Marvel",SPM,de,2
"Lizard, Connors's Curse",SPM,de,1
Lurking Lizards,SPM,de,4
"Madame Web, Clairvoyant",SPM,de,3
Masked Meower,SPM,de,5
Maximum Carnage,SPM,de,1
Mechanical Mobster,SPM,de,4
Merciless Enforcers,SPM,de,3
Mister Negative,SPM,de,1
Mob Lookout,SPM,de,4
"Molten Man, Inferno Incarnate",SPM,de,1
Morbius the Living Vampire,SPM,de,1
"Morlun, Devourer of Spiders",SPM,de,1
Multiversal Passage,SPM,de,1
"Mysterio, Master of Illusion",SPM,de,1
Mysterio's Phantasm,SPM,de,3
News Helicopter,SPM,de,5
Norman Osborn // Green Goblin,SPM,de,1
Ominous Asylum,SPM,de,4
Oscorp Industries,SPM,de,1
Oscorp Research Team,SPM,de,4
Parker Luck,SPM,de,1
Passenger Ferry,SPM,de,4
Peter Parker's Camera,SPM,de,1
Pictures of Spider-Man,SPM,de,1
Prison Break,SPM,de,1
Professional Wrestler,SPM,de,4
"Prowler, Clawed Thief",SPM,de,1
Pumpkin Bombardment,SPM,de,5
Raging Goblinoids,SPM,de,1
"Rhino, Barreling Brute",SPM,de,2
Rhino's Rampage,SPM,de,2
Risky Research,SPM,de,4
Robot,TSPM,de,9
Robotics Mastery,SPM,de,2
Rocket-Powered Goblin Glider,SPM,de,2
Romantic Rendezvous,SPM,de,5
"Sandman, Shifting Scoundrel",SPM,de,1
Sandman's Quicksand,SPM,de,2
Savage Mansion,SPM,de,3
"Scarlet Spider, Ben Reilly",SPM,de,1
"Scarlet Spider, Kaine",SPM,de,2
School Daze,SPM,de,2
"Scorpion, Seething Striker",SPM,de,2
Scorpion's Sting,SPM,de,4
Scout the City,SPM,de,4
Secret Identity,SPM,de,1
Selfless Police Captain,SPM,de,4
Shock,MAR,de,1
Shock,SPM,de,3
"Shocker, Unshakable",SPM,de,2
"Shriek, Treblemaker",SPM,de,3
"Silk, Web Weaver",SPM,de,2
"Silver Sable, Mercenary Leader",SPM,de,3
Sinister Hideout,SPM,de,3
Skyward Spider,SPM,de,4
"SP//dr, Piloted by Peni",SPM,de,2
Spectacular Spider-Man,SPM,de,2
Spectacular Tactics,SPM,de,4
Spider,TSPM,de,7
Spider Manifestation,SPM,de,3
Spider-Bot,SPM,de,4
"Spider-Byte, Web Warden",SPM,de,1
"Spider-Girl, Legacy Hero",SPM,de,2
"Spider-Gwen, Free Spirit",SPM,de,4
"Spider-Ham, Peter Porker",SPM,de,1
Spider-Islanders,SPM,de,3
Spider-Man India,SPM,de,2
Spider-Man No More,SPM,de,4
Spider-Man Noir,SPM,de,2
"Spider-Man, Brooklyn Visionary",SPM,de,4
"Spider-Man, Web-Slinger",SPM,de,4
Spider-Mobile,SPM,de,2
"Spider-Rex, Daring Dino",SPM,de,3
Spider-Sense,SPM,de,1
"Spider-Slayer, Hatred Honed",OM1,de,1
Spider-Suit,SPM,de,2
Spider-UK,SPM,de,2
"Spider-Woman, Stunning Savior",SPM,de,1
"Spiders-Man, Heroic Horde",SPM,de,2
"Starling, Aerial Ally",SPM,de,3
Steel Wrecking Ball,SPM,de,4
Stegron the Dinosaur Man,SPM,de,5
Strength of Will,SPM,de,1
Suburban Sanctuary,SPM,de,3
Subway Train,SPM,de,4
Sudden Strike,SPM,de,2
"Sun-Spider, Nimble Webber",SPM,de,1
Superior Foes of Spider-Man,SPM,de,2
Superior Spider-Man,SPM,de,1
Supportive Parents,SPM,de,1
"Swarm, Being of Bees",SPM,de,5
Symbiote Spider-Man,SPM,de,1
Taxi Driver,SPM,de,5
Terrific Team-Up,SPM,de,1
The Death of Gwen Stacy,SPM,de,1
"The Spot, Living Portal",SPM,de,1
The Spot's Portal,SPM,de,3
Thwip!,SPM,de,5
"Tombstone, Career Criminal",SPM,de,2
Treasure,TSPM,de,16
University Campus,SPM,de,2
Unstable Experiment,SPM,de,4
"Venom, Evil Unleashed",SPM,de,4
Venom's Hunger,SPM,de,3
Venomized Cat,SPM,de,4
Vibrant Cityscape,SPM,de,4
Villainous Wrath,SPM,de,1
"Vulture, Scheming Scavenger",SPM,de,2
Wall Crawl,SPM,de,2
Web of Life and Destiny,SPM,de,1
Web Up,SPM,de,5
Web-Shooters,SPM,de,1
Web-Warriors,SPM,de,1
Whoosh!,SPM,de,3
Wild Pack Squad,SPM,de,5
Wisecrack,SPM,de,2
"Wraith, Vicious Vigilante",SPM,de,2
