Name,Set code,Language,Quantity
Abrade,BRC,de,1
Arcane Signet,BRC,de,1
Ash Barrens,BRC,de,1
Ashnod the Uncaring,BRC,de,1
Audacious Reshapers,BRC,de,1
Bedevil,BRC,de,1
Blasphemous Act,BRC,de,1
Blast-Furnace Hellkite,BRC,de,1
"Brudiclad, Telchor Engineer",BRC,de,1
Buried Ruin,BRC,de,1
Chaos Warp,BRC,de,1
Command Tower,BRC,de,1
Commander's Sphere,BRC,de,1
Crumbling Necropolis,BRC,de,1
Cursed Mirror,BRC,de,1
Darkwater Catacombs,BRC,de,1
Dimir Aqueduct,BRC,de,1
Dimir Signet,BRC,de,1
Dreamstone Hedron,BRC,de,1
Drossforge Bridge,BRC,de,1
"Emry, Lurker of the Loch",BRC,de,1
Executioner's Capsule,BRC,de,1
Exotic Orchard,BRC,de,1
Expressive Iteration,BRC,de,1
Fact or Fiction,BRC,de,1
"Fain, the Broker",BRC,de,1
Faithless Looting,BRC,de,1
"Farid, Enterprising Salvager",BRC,de,1
Feed the Swarm,BRC,de,1
Fellwar Stone,BRC,de,1
"Geth, Lord of the Vault",BRC,de,1
Glint Raker,BRC,de,1
Great Furnace,BRC,de,1
Hedron Archive,BRC,de,1
Hellkite Igniter,BRC,de,1
Herald of Anguish,BRC,de,1
Ichor Wellspring,BRC,de,1
Idol of Oblivion,BRC,de,1
Izzet Boilerworks,BRC,de,1
"Jhoira, Weatherlight Captain",BRC,de,1
Lithoform Engine,BRC,de,1
Machine God's Effigy,BRC,de,1
Master Transmuter,BRC,de,1
Metalwork Colossus,BRC,de,1
Mind Stone,BRC,de,1
Mirrorworks,BRC,de,1
"Mishra, Eminent One",BRC,de,1
Mistvault Bridge,BRC,de,1
Mnemonic Sphere,BRC,de,1
"Muzzio, Visionary Architect",BRC,de,1
Mycosynth Wellspring,BRC,de,1
Myriad Landscape,BRC,de,1
Nihil Spellbomb,BRC,de,1
Oblivion Stone,BRC,de,1
Oni-Cult Anvil,BRC,de,1
"Padeem, Consul of Innovation",BRC,de,1
Path of Ancestry,BRC,de,1
Prophetic Prism,BRC,de,1
Rakdos Carnarium,BRC,de,1
Rakdos Signet,BRC,de,1
Reliquary Tower,BRC,de,1
Scavenged Brawler,BRC,de,1
Seat of the Synod,BRC,de,1
Servo Schematic,BRC,de,1
Shadowblood Ridge,BRC,de,1
"Silas Renn, Seeker Adept",BRC,de,1
Silverbluff Bridge,BRC,de,1
"Slobad, Goblin Tinkerer",BRC,de,1
Smelting Vat,BRC,de,1
Smoldering Marsh,BRC,de,1
Sol Ring,BRC,de,1
Spine of Ish Sah,BRC,de,1
Strionic Resonator,BRC,de,1
Temple of Deceit,BRC,de,1
Temple of Epiphany,BRC,de,1
Temple of Malice,BRC,de,1
Terisiare's Devastation,BRC,de,1
Terramorphic Expanse,BRC,de,1
Thirst for Knowledge,BRC,de,1
Thoughtcast,BRC,de,1
Thran Dynamo,BRC,de,1
Trading Post,BRC,de,1
"Traxos, Scourge of Kroog",BRC,de,1
Vault of Whispers,BRC,de,1
Wayfarer's Bauble,BRC,de,1
Wondrous Crucible,BRC,de,1
Workshop Elders,BRC,de,1
Island,BRO,de,4
Mountain,BRO,de,4
Swamp,BRO,de,4
Copy,TBRC,de,3
Eldrazi,TBRC,de,1
Goat,TBRC,de,1
Inkling,TBRC,de,2
Mishra's Warform,TBRC,de,1
Myr,TBRC,de,1
Phyrexian Myr,TBRC,de,1
Scrap,TBRC,de,2
Servo,TBRC,de,2
Construct,TBRO,de,2
Powerstone,TBRO,de,4
