Name,Set code,Language,Quantity
Aberrant Manawurm,SOS,de,1
Abstract Paintmage,SOS,de,1
Additive Evolution,SOS,de,1
Adventurous Eater // Have a Bite,SOS,de,1
Applied Geometry,SOS,de,1
Arcane Signet,SOC,de,1
"Arnyn, Deathbloom Botanist",SOS,de,1
Ascendant Dustspeaker,SOS,de,1
Assassin's Trophy,ECC,de,1
Awakening Zone,M3C,de,1
Banishing Betrayal,SOS,de,1
Beast,TSOC,de,1
Beledros Witherbloom,BLC,de,1
"Berta, Wise Extrapolator",SOS,de,1
Biblioplex Tomekeeper,SOS,de,2
Bitter Triumph,SOA,de,1
"Blech, Loafing Pest",SOS,de,2
Blight Mound,C21,de,1
Blood Artist,INR,de,1
Bloodghast,LCC,de,1
Blossoming Bogbeast,C21,de,1
Bojuka Bog,EOC,de,1
Brush Off,SOS,de,1
Bulk Up,SOA,de,1
Casualties of War,TDC,de,1
Charging Strifeknight,SOS,de,1
Chase Inspiration,SOS,de,1
Choreographed Sparks,SOS,de,1
City's Blessing,TBLC,de,1
Comforting Counsel,SOS,de,1
Command Tower,PMEI,de,1
Creakwood Liege,2X2,de,1
Cuboid Colony,SOS,de,1
Culling Ritual,DSC,de,1
Cultivate,DSC,de,1
Deadly Brew,FDN,de,1
Defiling Daemogoth,SOC,de,1
Deluge Virtuoso,SOS,de,1
Dig Site Inventory,SOS,de,2
"Dina, Essence Brewer",SOC,de,1
"Dina, Soul Steeper",STX,de,1
Disdainful Stroke,SOA,ja,1
Dismember,SOA,ja,1
Duty Beyond Death,SOA,de,1
Eager Glyphmage,SOS,de,1
Eccentric Pestfinder // Turn Stones,SOC,de,1
Efflorescence,SOS,de,1
Eldrazi Spawn,TMH3,de,3
Elemental,TSOS,de,2
Elemental Mascot,SOS,de,1
Elvish Mystic,CMM,de,1
Embrace the Paradox,SOS,de,1
End of the Hunt,SOS,de,1
Erode,SOS,de,1
Essence Scatter,SOS,de,1
Essenceknit Scholar,SOS,de,1
Eternal Student,SOS,de,1
Exotic Orchard,BLC,de,1
Expressive Firedancer,SOS,de,1
Fabled Passage,SOC,de,1
Feed the Swarm,SOA,de,1
Feral Appetite,SOC,de,1
