Name,Set code,Language,Quantity
Abzan Devotee,TDM,de,2
Aegis Sculptor,TDM,de,1
Agent of Kotis,TDM,de,1
Aggressive Negotiations,TDM,de,1
"Anafenza, Unyielding Lineage",TDM,de,1
Arashin Sunshield,TDM,de,2
Armament Dragon,TDM,de,1
Bloodfell Caves,TDM,de,2
Coordinated Maneuver,TDM,de,1
Descendant of Storms,TDM,de,1
Devoted Duelist,TDM,de,1
Dirgur Island Dragon // Skimming Strike,TDM,de,1
Dragon's Prey,TDM,de,1
Dragonfire Blade,TDM,de,1
Dragonologist,TDM,de,1
Elephant,TTDM,de,1
Embermouth Sentinel,TDM,de,1
Flamehold Grappler,TDM,de,1
Focus the Mind,TDM,de,1
Gurmag Rakshasa,TDM,de,1
Highspire Bell-Ringer,TDM,de,1
Host of the Hereafter,TDM,de,1
Iceridge Serpent,TDM,de,1
Jade-Cast Sentinel,TDM,de,1
Jeskai Devotee,TDM,de,1
Kin-Tree Nurturer,TDM,de,1
Krotiq Nestguard,TDM,de,1
Mammoth Bellow,TDM,de,1
Meticulous Artisan,TDM,de,1
"Narset, Jeskai Waymaster",TDM,de,1
Nature's Rhythm,TDM,de,1
Nomad Outpost,TDM,de,1
Osseous Exhale,TDM,de,1
Piercing Exhale,TDM,de,1
Rainveil Rejuvenator,TDM,de,1
Reigning Victor,TDM,de,1
Reputable Merchant,TDM,de,1
Rite of Renewal,TDM,de,1
Sagu Wildling // Roost Seek,TDM,de,1
Sandskitter Outrider,TDM,de,1
Sibsig Appraiser,TDM,de,1
Soldier,TTDM,de,2
Spirit,TTDM,de,2
Static Snare,TDM,de,1
Stormplain Detainment,TDM,de,1
Summit Intimidator,TDM,de,1
Swiftwater Cliffs,TDM,de,1
Treasure,TTDM,de,1
Twinmaw Stormbrood // Charring Bite,TDM,de,1
Undergrowth Leopard,TDM,de,1
Veteran Ice Climber,TDM,de,1
War Effort,TDM,de,1
Wild Ride,TDM,de,1
Wingblade Disciple,TDM,de,1
Wingspan Stride,TDM,de,1
Yathan Tombguard,TDM,de,1
