Name,Set code,Language,Quantity
"Alela, Artful Provocateur",BRC,de,1
Ancient Den,BRC,de,1
Angel of the Ruins,BRC,de,1
Arcane Sanctum,BRC,de,1
Arcane Signet,BRC,de,1
"Armix, Filigree Thrasher",BRC,de,1
Ash Barrens,BRC,de,1
Austere Command,BRC,de,1
Azorius Chancery,BRC,de,1
Azorius Signet,BRC,de,1
Baleful Strix,BRC,de,1
Bident of Thassa,BRC,de,1
Bojuka Bog,BRC,de,1
Bronze Guardian,BRC,de,1
Chief of the Foundry,BRC,de,1
Chrome Courier,BRC,de,1
Command Tower,BRC,de,1
Cranial Plating,BRC,de,1
Darksteel Citadel,BRC,de,1
Darksteel Juggernaut,BRC,de,1
Despark,BRC,de,1
Digsite Engineer,BRC,de,1
Dimir Aqueduct,BRC,de,1
Dimir Signet,BRC,de,1
Etched Champion,BRC,de,1
Etherium Sculptor,BRC,de,1
Ethersworn Adjudicator,BRC,de,1
Exotic Orchard,BRC,de,1
Filigree Attendant,BRC,de,1
Goldmire Bridge,BRC,de,1
Hexavus,BRC,de,1
Indomitable Archangel,BRC,de,1
Kayla's Music Box,BRC,de,1
Liquimetal Torque,BRC,de,1
"Losheel, Clockwork Scholar",BRC,de,1
March of Progress,BRC,de,1
Marionette Master,BRC,de,1
Master of Etherium,BRC,de,1
Mistvault Bridge,BRC,de,1
Myr Battlesphere,BRC,de,1
Noxious Gearhulk,BRC,de,1
One with the Machine,BRC,de,1
Orzhov Basilica,BRC,de,1
Orzhov Signet,BRC,de,1
Path of Ancestry,BRC,de,1
Phyrexian Rebirth,BRC,de,1
Prairie Stream,BRC,de,1
Preordain,BRC,de,1
Razortide Bridge,BRC,de,1
Relic of Progenitus,BRC,de,1
River of Tears,BRC,de,1
"Sai, Master Thopterist",BRC,de,1
"Sanwell, Avenger Ace",BRC,de,1
Scholar of New Horizons,BRC,de,1
Seat of the Synod,BRC,de,1
Sharding Sphinx,BRC,de,1
Sharuum the Hegemon,BRC,de,1
Shimmer Dragon,BRC,de,1
Skullclamp,BRC,de,1
Skycloud Expanse,BRC,de,1
Sol Ring,BRC,de,1
Solemn Simulacrum,BRC,de,1
Sphinx's Revelation,BRC,de,1
Spire of Industry,BRC,de,1
Steel Hellkite,BRC,de,1
Steel Overseer,BRC,de,1
Sunken Hollow,BRC,de,1
Swiftfoot Boots,BRC,de,1
Swords to Plowshares,BRC,de,1
"Tawnos, Solemn Survivor",BRC,de,1
Tempered Steel,BRC,de,1
Temple of Deceit,BRC,de,1
Temple of Enlightenment,BRC,de,1
Temple of Silence,BRC,de,1
"Teshar, Ancestor's Apostle",BRC,de,1
Thopter Shop,BRC,de,1
Thopter Spy Network,BRC,de,1
Thought Monitor,BRC,de,1
Thought Vessel,BRC,de,1
Unbreakable Formation,BRC,de,1
"Urza, Chief Artificer",BRC,de,1
Urza's Ruinous Blast,BRC,de,1
Vault of Whispers,BRC,de,1
Vedalken Humiliator,BRC,de,1
Vindicate,BRC,de,1
Whirler Rogue,BRC,de,1
Wire Surgeons,BRC,de,1
Wreck Hunter,BRC,de,1
Evolving Wilds,BRO,de,1
Island,BRO,de,4
Plains,BRO,de,4
Swamp,BRO,de,3
Copy,TBRC,de,1
Faerie,TBRC,de,2
Myr,TBRC,de,4
Servo,TBRC,de,4
Construct,TBRO,de,2
Powerstone,TBRO,de,2
Thopter,TBRO,de,4
Horror,TCMR,de,1
