Name,Set code,Language,Quantity
A Realm Reborn,FIN,de,1
Aarakocra Sneak,CLB,de,1
"Abdel Adrian, Gorion's Ward",CLB,de,2
Abrade,BRC,de,1
Abrade,VOW,de,1
Abraded Bluffs,OTJ,de,1
Abundant Growth,INR,de,1
Abundant Growth,PIP,de,1
Abzan Devotee,TDM,de,2
Acolyte of Bahamut,CLB,de,1
Acquire,5DN,de,1
Acquired Mutation,PIP,de,1
"Adagia, Windswept Bastion",EOE,de,2
Adamant Will,FDN,de,1
Adarkar Wastes,EOC,de,1
Adder-Staff Boggart,LRW,de,1
Adelbert Steiner,FIN,de,2
Adorned Crocodile,TDM,de,2
Adrenaline Jockey,DFT,de,1
Advanced Hoverguard,5DN,de,1
Adventurer's Airship,FIN,de,1
Adventurer's Inn,FIN,de,2
Aegis Sculptor,TDM,de,1
Aerith Gainsborough,FIN,de,1
Aerith Rescue Mission,FIN,de,2
Aeronaut's Wings,BRO,de,1
Aether Spellbomb,MMA,de,1
Aether Vial,DST,de,1
Aetherize,FDN,de,1
Aetherjacket,DFT,de,2
Aetherplasm,RVR,de,1
Aethertide Whale,DRC,en,1
Affectionate Indrik,FDN,de,1
Agate-Blade Assassin,BLB,de,1
Agent of Kotis,TDM,de,2
Agent of the Iron Throne,CLB,de,2
Agent of the Shadow Thieves,CLB,de,1
Aggressive Mammoth,FDN,de,1
Aggressive Negotiations,TDM,de,2
Agility Bobblehead,PIP,de,1
Aim High,INR,de,2
Air Elemental,8ED,de,1
Air Elemental,W17,de,1
Air Response Unit,DFT,de,1
Ajani's Pridemate,FDN,de,1
"Akki Lavarunner // Tok-Tok, Volcano Born",CHK,de,1
Akki Ronin,NEO,en,2
Akki Underminer,CHK,de,1
Akoum Refuge,C19,en,1
Al Bhed Salvagers,FIN,de,2
Alacrian Armory,DFT,de,2
Alacrian Jaguar,DFT,de,4
Alania's Pathmaker,BLB,de,1
Alaundo the Seer,CLB,de,2
Alchemist's Greeting,INR,de,1
"Alela, Artful Provocateur",NCC,de,1
"Alesha, Who Laughs at Fate",FDN,de,1
"Alibou, Ancient Witness",EOC,de,1
Alien Angel,TWHO,de,4
Alisaie Leveilleur,FIC,en,1
All That Glitters,PIP,de,1
All-Fates Scroll,EOE,de,2
Almost Perfect,PIP,de,1
"Alora, Merry Thief",CLB,de,2
"Alpharael, Dreaming Acolyte",EOE,de,2
"Alpharael, Stonechosen",EOE,de,1
Alphinaud Leveilleur,FIC,de,1
Alphinaud Leveilleur,FIC,en,1
Altar of Bhaal // Bone Offering,CLB,de,1
Amber Gristle O'Maul,CLB,de,3
Ambitious Dragonborn,CLB,de,1
Ambush Paratrooper,BRO,de,1
Ambush Wolf,FDN,de,1
Amethyst Dragon // Explosive Crystal,CLB,de,1
Amoeboid Changeling,LRW,de,1
An Offer You Can't Refuse,FDN,de,1
"Anafenza, Unyielding Lineage",TDM,de,1
Ancestor Dragon,FDN,de,1
Ancestral Anger,INR,de,1
Ancient Den,BRC,de,1
Ancient Den,C21,de,2
Ancient Den,EOC,de,1
Ancient Tomb,EOS,de,1
Ancient Vendetta,DFT,de,1
Angel of Destiny,ZNR,en,1
Angel of Invention,TDC,en,1
Angel of Mercy,9ED,de,2
Angel of Sanctions,DRC,en,1
Angel of Serenity,C21,en,1
Angel of the Dire Hour,C14,en,1
Angel of the Ruins,BLC,de,1
Angel of the Ruins,EOC,de,1
Angel of the Ruins,FIC,de,1
Angel of Vitality,CLU,en,1
Angel's Tomb,INR,de,1
Angelic Accord,IMA,en,1
Angelic Captain,BFZ,en,1
Angelic Curator,ULG,de,1
Angelic Edict,FDN,de,1
Angelic Field Marshal,CMM,en,1
Angelic Page,DVD,de,3
Angelic Skirmisher,GTC,de,1
Angelic Sleuth,NCC,de,1
Angelo,TFIN,de,1
Anger,FIC,de,1
Animal Friend,PIP,de,1
Annul,EOE,de,1
Anticausal Vestige,EOE,de,1
Apothecary Stomper,FDN,de,1
Aquamorph Entity,DDN,de,1
Aquastrand Spider,MM2,de,1
"Arahbo, the First Fang",FDN,de,1
Arashin Sunshield,TDM,de,2
Arcane Encyclopedia,CLB,de,1
Arcane Epiphany,FDN,de,2
Arcane Sanctum,BRC,de,1
Arcane Sanctum,FIC,en,1
Arcane Signet,BRC,de,2
Arcane Signet,CLB,de,1
Arcane Signet,DRC,de,1
Arcane Signet,EOC,de,1
Arcane Signet,FIC,de,1
Arcane Signet,FIC,en,1
Arcane Signet,PIP,de,1
