Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Rimeshield Frost Giant,AFR,Adventures in the Forgotten Realms,310,normal,common,1,60493,ed6f1fc7-be88-46a3-8bd9-3f16332c2bd8,de,29.03.2025
Hired Hexblade,AFR,Adventures in the Forgotten Realms,109,normal,common,1,60418,c23cbf01-90d0-4962-92d5-5e1566e8ef4b,de,29.03.2025
Hoard Robber,AFR,Adventures in the Forgotten Realms,110,normal,common,1,60393,b723d9cd-05f5-4894-9f2b-52a434a3019c,de,29.03.2025
Thieves' Tools,CLB,Commander Legends: Battle for Baldur's Gate,152,normal,common,1,69276,c3bf4ee1-b6a8-4a69-adab-6839c1786cc9,de,29.03.2025
Temple of the Dragon Queen,AFR,Adventures in the Forgotten Realms,260,normal,uncommon,1,60150,0c79b3c6-ccbe-48ae-a1f7-ddfd37ecdbf5,de,29.03.2025
Dragon's Disciple,AFR,Adventures in the Forgotten Realms,13,normal,uncommon,1,60351,9e5e6b78-3e99-49f5-9eaf-bbb2e9789fbe,de,29.03.2025
White Dragon,AFR,Adventures in the Forgotten Realms,41,normal,uncommon,1,60177,21e290c4-6c94-472a-9dec-6994aade29c2,de,29.03.2025
Neverwinter Dryad,AFR,Adventures in the Forgotten Realms,195,normal,common,1,60480,e64d7cc7-bbdd-4db3-906e-a2f7672e0f67,de,29.03.2025
"Lolth, Spider Queen",AFR,Adventures in the Forgotten Realms,112,normal,mythic,1,60220,420a5689-d73e-4dda-82fd-8b8897ff5b55,de,29.03.2025
Plummet,AFR,Adventures in the Forgotten Realms,199,normal,common,1,60234,4be85ceb-be98-43ce-9565-a72990797437,de,29.03.2025
Krydle of Baldur's Gate,AFR,Adventures in the Forgotten Realms,343,normal,uncommon,1,60385,b3f77be2-2333-4b3a-9954-15f4de7a61c0,de,29.03.2025
Scaled Herbalist,AFR,Adventures in the Forgotten Realms,204,normal,common,1,60274,6cb05274-5a94-44e3-889a-667cba1da033,de,29.03.2025
Bulette,AFR,Adventures in the Forgotten Realms,173,normal,common,1,60174,206a9e7b-45c1-4213-8fc4-27d90e2ab0e9,de,29.03.2025
Compelled Duel,AFR,Adventures in the Forgotten Realms,178,normal,common,1,60187,2a7e501d-943e-4e6d-9d8e-6bedc32a0dd8,de,29.03.2025
Ray of Frost,AFR,Adventures in the Forgotten Realms,68,normal,uncommon,1,60308,7edd5058-a964-4288-937b-84df6e9ba7c4,de,29.03.2025
Dungeon Map,AFR,Adventures in the Forgotten Realms,242,normal,uncommon,1,60128,028506ad-ad36-44e5-b488-d038e2d2445f,de,29.03.2025
Clattering Skeletons,AFR,Adventures in the Forgotten Realms,93,normal,common,1,60144,09ac0b2b-d4d3-4977-b241-7788239362de,de,29.03.2025
Wizard's Spellbook,AFR,Adventures in the Forgotten Realms,82,normal,rare,1,60392,b6ed0a4c-0234-4341-8dcb-5eea6a9632e7,de,29.03.2025
Wight,AFR,Adventures in the Forgotten Realms,127,normal,rare,1,60508,f62abe9c-7599-433b-a964-10d6641f3586,de,29.03.2025
Yuan-Ti Fang-Blade,AFR,Adventures in the Forgotten Realms,128,normal,common,1,60366,a7e0e09c-ed43-4a37-85f2-c60bdfdb2624,de,29.03.2025
Red Dragon,AFR,Adventures in the Forgotten Realms,160,normal,uncommon,2,60306,7cf57369-b8e2-481c-89d4-c83c617499a3,de,29.03.2025
