Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Sever the Bloodline,INR,Innistrad Remastered,130,normal,uncommon,1,102703,a2d4152d-c128-453c-86f5-f2ebcfd48b98,en,01.03.2025
Righteous Authority,C18,Commander 2018,188,normal,rare,1,655,8fd3341d-38e4-4dc0-9e95-34cb1f796e7e,en,01.03.2025
Spawnwrithe,DDM,Duel Decks: Jace vs. Vraska,55,normal,rare,1,14695,5ba6ee29-fc77-4300-9c5e-1557cabd05e5,en,01.03.2025
Sphinx of Uthuun,CMR,Commander Legends,406,normal,rare,1,56076,5bd5cd33-20e2-4063-b422-2bde13021888,en,01.03.2025
"Torbran, Thane of Red Fell",ELD,Throne of Eldraine,147,normal,rare,1,46191,79f591cd-d277-4ba5-b1bf-1c09cac9cb8a,en,01.03.2025
High Sentinels of Arashin,MOC,March of the Machine Commander,189,normal,rare,1,81976,d46b34ed-88a4-4868-9ce3-b91901e600d3,en,01.03.2025
Angelic Captain,BFZ,Battle for Zendikar,208,normal,rare,1,10143,ef0baf56-816a-4e0a-beb3-73b51487ff00,en,01.03.2025
Dragon Throne of Tarkir,KTK,Khans of Tarkir,219,normal,rare,1,13179,d508e6a6-034c-424d-993e-7354ce212f13,en,01.03.2025
Terastodon,M3C,Modern Horizons 3 Commander,249,normal,rare,1,95066,f25e0ef9-29e1-45fe-b9b1-b228594939ab,en,01.03.2025
Tidal Force,C13,Commander 2013,62,normal,rare,1,15324,13e2658d-28d7-4e22-ad44-03ab92ff666d,en,01.03.2025
Underworld Connections,VOC,Crimson Vow Commander,138,normal,rare,1,64503,1df71add-7bb6-4687-bb69-cf4450adb7dc,en,01.03.2025
Revel of the Fallen God,JOU,Journey into Nyx,155,normal,rare,1,14494,e1d2c774-aab9-4747-af91-da792ed7cfe1,en,01.03.2025
"Oran-Rief, the Vastwood",BLC,Bloomburrow Commander,320,normal,rare,1,96537,fc3d73d8-47cd-481c-ae13-9d993fd54420,en,01.03.2025
Aethertide Whale,DRC,Aetherdrift Commander,69,normal,rare,1,103120,78e396a1-a56e-418b-a342-c09a11218a85,en,01.03.2025
Territorial Gorger,KLD,Kaladesh,136,normal,rare,1,7507,b3525ad1-3c17-4959-ab61-ae0e784c526a,en,01.03.2025
Flickerform,CMA,Commander Anthology,11,normal,rare,1,5275,64266c41-b123-41e1-8006-07f2037bba72,en,01.03.2025
