Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Bramble Armor,VOW,Innistrad: Crimson Vow,188,normal,common,1,64469,f3017ae1-9744-493b-a1a2-fb2a60f7e7e4,de,29.03.2025
Cradle of Safety,VOW,Innistrad: Crimson Vow,54,normal,common,1,64170,42cbad81-152a-435f-9289-f4b6483a059b,de,29.03.2025
Blood Fountain,VOW,Innistrad: Crimson Vow,95,normal,common,1,64437,dd03651e-ada0-41dc-8722-0eba476943e3,de,29.03.2025
Heron-Blessed Geist,VOW,Innistrad: Crimson Vow,19,normal,common,1,64293,83bacf4a-4e99-4008-97e4-3a82dddd4e45,de,29.03.2025
Daybreak Combatants,VOW,Innistrad: Crimson Vow,153,normal,common,1,64296,8697a861-0f67-4ed3-bed8-f264fc78565e,de,29.03.2025
Witch's Web,VOW,Innistrad: Crimson Vow,227,normal,common,1,64088,0d021207-76be-4bc9-bb71-df991a04d8d8,de,29.03.2025
Syncopate,INR,Innistrad Remastered,89,normal,common,1,102690,9aebd769-7ae3-4dac-81ea-458061762cce,de,29.03.2025
Blood Servitor,VOW,Innistrad: Crimson Vow,252,normal,common,1,64298,87845cc2-bf5d-491d-bfa2-b33b034557a4,de,29.03.2025
Weaver of Blossoms // Blossom-Clad Werewolf,VOW,Innistrad: Crimson Vow,226,normal,common,1,64271,73bf2a0a-b97d-4b90-abd6-d1755734ea15,de,29.03.2025
Cobbled Lancer,INR,Innistrad Remastered,56,normal,uncommon,1,102719,ad933b4d-e1e7-49cc-aa18-8eee2ec8c8a5,de,29.03.2025
Wash Away,VOW,Innistrad: Crimson Vow,87,normal,uncommon,1,64172,43411ade-be80-4535-8baa-7055e78496df,de,29.03.2025
Ballista Watcher // Ballista Wielder,VOW,Innistrad: Crimson Vow,143,normal,uncommon,1,64247,63d96c52-66ce-4b46-9a0b-7cd9a43f9253,de,29.03.2025
Winged Portent,VOW,Innistrad: Crimson Vow,89,normal,rare,1,64155,3494a4fc-37e5-4095-a3bb-5cd9280f4c77,de,29.03.2025
Wedding Invitation,VOW,Innistrad: Crimson Vow,260,normal,common,1,64438,ddc22ff6-4081-47ce-bc8a-e063f5f4d044,de,29.03.2025
Evolving Wilds,VOW,Innistrad: Crimson Vow,263,normal,common,1,64453,e80fe230-745d-42ae-a1f5-a8cc950783d0,de,29.03.2025
Piercing Light,VOW,Innistrad: Crimson Vow,30,normal,common,1,64219,54cc4e2b-1497-4788-afb4-9e42b7683b5a,de,29.03.2025
Steelclad Spirit,VOW,Innistrad: Crimson Vow,80,normal,common,1,64222,55fb1426-5a6f-48dd-938b-c64b1a28ee59,de,29.03.2025
Gluttonous Guest,VOW,Innistrad: Crimson Vow,292,normal,common,1,64260,6d6abfce-ffe0-4506-89f9-41c2820b188f,de,29.03.2025
Nature's Embrace,VOW,Innistrad: Crimson Vow,211,normal,common,1,64160,39d757af-86fd-4f99-a09a-0f3898ed95f6,de,29.03.2025
Abrade,INR,Innistrad Remastered,139,normal,common,1,102860,fee393c7-1868-4d11-93c3-3d143e0c8dd9,de,29.03.2025
Traveling Minister,VOW,Innistrad: Crimson Vow,39,normal,common,1,64449,e672a05c-5f1a-4aa6-9398-e33df01c7c96,de,29.03.2025
Wanderlight Spirit,VOW,Innistrad: Crimson Vow,86,normal,common,1,64281,7bb3ce5d-330d-427e-a053-8cc4eeb2941b,de,29.03.2025
Undying Malice,FDN,Foundations,528,normal,common,1,100858,97b3cf11-e352-4ee1-8c03-13898f576ef9,de,29.03.2025
Kindly Ancestor // Ancestor's Embrace,VOW,Innistrad: Crimson Vow,22,normal,common,1,64129,25193485-7f41-4b05-9a69-4c112679f97c,de,29.03.2025
Cloaked Cadet,VOW,Innistrad: Crimson Vow,192,normal,uncommon,1,64069,06d86c79-d2c7-4900-9474-4d4bc4c74d44,de,29.03.2025
Frenzied Devils,VOW,Innistrad: Crimson Vow,159,normal,uncommon,1,64379,b7912206-6de3-4085-b5f6-a2e90ea55b90,de,29.03.2025
Hero's Downfall,FDN,Foundations,175,normal,uncommon,1,97185,ad2c01d9-8f54-46c0-9dc9-d4d4764ce1c9,de,29.03.2025
"Henrika Domnathi // Henrika, Infernal Seer",VOW,Innistrad: Crimson Vow,119,normal,mythic,1,64320,946ca338-5f43-4cff-bd93-1b28449c5fdc,de,29.03.2025
Blood,TINR,Innistrad Remastered Tokens,21,normal,common,1,102673,92a3afe7-bd9f-43f9-adc3-4819e60dc7a5,de,29.03.2025
