Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Akki Ronin,NEO,Kamigawa: Neon Dynasty,319,normal,common,1,66847,fa16ee8e-d33a-40e9-9956-e345f0511819,en,14.03.2025
Selfless Samurai,NEO,Kamigawa: Neon Dynasty,312,normal,uncommon,1,66564,82f1ade5-06ff-41ab-9a68-bf901959b01f,en,14.03.2025
Undercity Scrounger,NEO,Kamigawa: Neon Dynasty,126,normal,common,1,66882,6319b84b-8a3d-4bc8-af48-8b500f124be1,en,14.03.2025
Return to Action,NEO,Kamigawa: Neon Dynasty,121,normal,common,1,66862,342ec072-e581-490c-b5ae-a625bd35a153,en,14.03.2025
Reckoner's Bargain,NEO,Kamigawa: Neon Dynasty,120,normal,common,1,66883,6338942d-d650-4571-8ec6-4d658792c53e,en,14.03.2025
Clawing Torment,NEO,Kamigawa: Neon Dynasty,91,normal,common,1,66880,621fce96-5933-4e2b-98ec-2589940e24cb,en,14.03.2025
Awakened Awareness,NEO,Kamigawa: Neon Dynasty,47,normal,uncommon,1,66537,51378e10-2f17-445b-97e9-5c373234ba52,en,14.03.2025
Okiba Reckoner Raid // Nezumi Road Captain,NEO,Kamigawa: Neon Dynasty,117,normal,common,1,66534,4f0582b4-d951-4450-b158-4a34109e48cd,en,14.03.2025
"Kairi, the Swirling Sky",NEO,Kamigawa: Neon Dynasty,60,normal,mythic,1,66438,af7979d8-21f3-40ba-8a2e-7ebad210e48b,en,14.03.2025
Wind-Scarred Crag,NEO,Kamigawa: Neon Dynasty,282,normal,common,1,66912,cf9b1d47-11ef-4f06-94b2-94b6727de3bd,en,14.03.2025
Silver-Fur Master,NEO,Kamigawa: Neon Dynasty,353,normal,uncommon,1,66377,5d9a0771-072c-4b0c-afcb-15a6406473c6,en,14.03.2025
Fang of Shigeki,NEO,Kamigawa: Neon Dynasty,347,normal,common,1,66576,94c8e2d5-2706-4137-bfdc-d65f1cd33bda,en,14.03.2025
Golden-Tail Disciple,NEO,Kamigawa: Neon Dynasty,15,normal,common,1,66811,d631e7da-bd71-424a-a349-9bce0fd16b1f,en,14.03.2025
Spirited Companion,BLC,Bloomburrow Commander,155,normal,common,1,96423,ada3dc9c-2f83-4f52-8776-ef23d45cc4eb,en,14.03.2025
Virus Beetle,NEO,Kamigawa: Neon Dynasty,128,normal,common,1,66871,488ee202-0d28-4cc0-8a7d-644d9878e952,en,14.03.2025
Patchwork Automaton,NEO,Kamigawa: Neon Dynasty,254,normal,uncommon,1,66734,7a4e1580-dd26-4f4b-ac98-3e6fa7b879d5,en,14.03.2025
Dragonspark Reactor,NEO,Kamigawa: Neon Dynasty,137,normal,uncommon,1,66715,5cf531dd-0a93-43e3-880b-f705fa5f533d,en,14.03.2025
The Fall of Lord Konda // Fragment of Konda,NEO,Kamigawa: Neon Dynasty,12,normal,uncommon,1,66532,4d784409-df6d-45d4-8f8b-6e3fd57a8fde,en,14.03.2025
Ogre-Head Helm,NEO,Kamigawa: Neon Dynasty,155,normal,rare,1,66678,3a0d5f7d-4e8a-42ad-8875-610004bd9796,en,14.03.2025
"Norika Yamazaki, the Poet",NEO,Kamigawa: Neon Dynasty,311,normal,uncommon,1,66518,344df5c2-a963-42e3-b61b-1712f15e1eb9,en,14.03.2025
Bloodfell Caves,DSC,Duskmourn: House of Horror Commander,264,normal,common,1,99132,47746248-1a8f-4123-a0d9-6cb61f4b394f,en,14.03.2025
Reinforced Ronin,NEO,Kamigawa: Neon Dynasty,323,normal,uncommon,1,66775,a69eec2f-eec0-491f-944c-ca944d9d320b,en,14.03.2025
Dramatist's Puppet,NEO,Kamigawa: Neon Dynasty,244,normal,common,1,66903,b490e065-b54a-4015-9768-d0e62f0e2e84,en,14.03.2025
