Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Liquimetal Coating,CM2,Commander Anthology Volume II,197,normal,uncommon,1,1540,f631447c-36e3-4d82-a658-19c9767a216b,de,01.03.2025
Tocasia's Welcome,BRO,The Brothers' War,30,normal,rare,1,75466,56cd89f1-f9f4-4cb5-a573-79809d0b6dfd,de,01.03.2025
Static Net,BRO,The Brothers' War,27,normal,uncommon,1,75482,5ab5cb30-3ced-4450-a3c4-b519f3762620,de,01.03.2025
Thran Power Suit,BRO,The Brothers' War,253,normal,uncommon,1,75308,17bfb8c5-9105-41e4-a58f-9c9eee32b18a,de,01.03.2025
Take Flight,BRO,The Brothers' War,65,normal,uncommon,1,75426,46a2108e-e45e-4b21-a03b-5f644b6043be,de,01.03.2025
Penregon Strongbull,BRO,The Brothers' War,147,normal,common,1,75324,1c2deb43-7134-4f9c-b02d-78407a8986b1,de,01.03.2025
Tocasia's Onulet,BRO,The Brothers' War,39,normal,common,1,75850,e4abf2fb-f78a-4e75-b46f-524d3d7405db,de,01.03.2025
Fog of War,BRO,The Brothers' War,180,normal,common,1,75389,37096c19-32c9-448a-94e9-f5fe2d74e3a3,de,01.03.2025
Disenchant,FDN,Foundations,572,normal,common,1,100709,7ac43e16-8b14-46f2-877a-600ea918766b,de,01.03.2025
Stern Lesson,BRO,The Brothers' War,64,normal,common,1,75374,3151caa2-10ed-4f30-83eb-cd1bd3f642ce,de,01.03.2025
Mishra's Juggernaut,BRO,The Brothers' War,161,normal,common,1,75720,b30457c3-57df-4720-8b45-962f16316d17,de,01.03.2025
Hoarding Recluse,BRO,The Brothers' War,186,normal,common,1,75509,6559afec-6bb8-4501-8805-4eb108443048,de,01.03.2025
Overwhelming Remorse,BRO,The Brothers' War,110,normal,common,1,75335,202cbfa4-3b3d-47fd-84a6-892692c906d6,de,01.03.2025
Bone Saw,CON,Conflux,135,normal,common,1,23594,a3bf79d6-4b4a-4fdd-a831-36eff2523661,de,01.03.2025
Terisian Mindbreaker,BRO,The Brothers' War,83,normal,rare,1,75526,6bd86daf-7cee-454c-8d4d-97f59fe36958,de,01.03.2025
Yotian Frontliner,BRO,The Brothers' War,42,normal,uncommon,1,75747,bfa05d1e-6728-4e77-bfb2-da0b9598e44b,de,01.03.2025
Spotter Thopter,BRO,The Brothers' War,80,normal,uncommon,1,75818,d90175ae-4109-4845-b3ff-1531fb67a0e1,de,01.03.2025
Steel Exemplar,BRO,The Brothers' War,246,normal,uncommon,1,75395,386c139a-13fc-49ca-923d-45faca4f9a2f,de,01.03.2025
Combat Courier,BRO,The Brothers' War,77,normal,common,1,75307,171edf80-ffc1-4894-9be5-c3e93a96f734,de,01.03.2025
Tomakul Scrapsmith,BRO,The Brothers' War,153,normal,common,1,75799,d462d30c-9060-46d6-b5b3-cac476ee2ce1,de,01.03.2025
Aeronaut's Wings,BRO,The Brothers' War,231,normal,common,1,75919,fcc65821-e4e7-471c-941c-9d3e25ae8bb9,de,01.03.2025
Trench Stalker,BRO,The Brothers' War,116,normal,common,1,75698,aa1b987a-a3b9-4cd1-85b0-e58df4130934,de,01.03.2025
Dredging Claw,BRO,The Brothers' War,119,normal,common,1,75773,c8e133a2-631f-43f6-9fdd-e542d4d15e10,de,01.03.2025
Mightstone's Animation,BRO,The Brothers' War,58,normal,common,1,75616,8c540e42-22e2-4127-bbd9-2e9200023fec,de,01.03.2025
Yotian Medic,BRO,The Brothers' War,33,normal,common,1,75884,f21b9c48-6eca-4677-961b-614f5ec594ce,de,01.03.2025
Unleash Shell,BRO,The Brothers' War,155,normal,common,1,75322,1be13abf-b717-4122-ab2b-7e597a251d52,de,01.03.2025
Rust Goliath,BRO,The Brothers' War,204,normal,common,1,75597,8348f73d-4226-4296-9d51-a2c497ee8270,de,01.03.2025
Gixian Skullflayer,BRO,The Brothers' War,100,normal,common,1,75874,ebdcf02b-1876-44d7-8a22-679ea1272856,de,01.03.2025
Powerstone,TBRO,The Brothers' War Tokens,7,normal,common,7,76010,d45fe4b6-aeaf-4f84-b660-c7b482ed8512,de,01.03.2025
Carrion Locust,BRO,The Brothers' War,87,normal,common,1,75516,6759acb8-82c0-479f-86f3-f22ca7a2006c,de,01.03.2025
Foundry Inspector,CMM,Commander Masters,385,normal,common,1,84093,16debeb1-fb2b-4172-b6da-726416d4fb38,de,01.03.2025
"Urza, Prince of Kroog",BRO,The Brothers' War,226,normal,rare,1,75480,5a7329cd-95af-4d71-984f-f5f28982520c,de,01.03.2025
"Urza, Powerstone Prodigy",BRO,The Brothers' War,69,normal,uncommon,1,75421,445f897e-a059-4cd5-bfd2-302dc7a4c8e2,de,01.03.2025
Cradle Clearcutter,BRO,The Brothers' War,198,normal,uncommon,1,75447,50cc9b90-792e-4cf7-ab8c-cb616d94092a,de,01.03.2025
Thran Vigil,BRO,The Brothers' War,114,normal,uncommon,1,75406,3faed400-0712-4fc1-b710-144db40a5e11,de,01.03.2025
Powerstone Fracture,BRO,The Brothers' War,112,normal,common,1,75341,2323301f-565a-4c0f-bffd-18386ccd1f7a,de,01.03.2025
Urza's Rebuff,BRO,The Brothers' War,71,normal,common,1,75611,8a6f90b3-450c-490a-b6d0-2393c4646c85,de,01.03.2025
Raze to the Ground,BRO,The Brothers' War,149,normal,common,1,75598,838b25d2-7615-4375-a5e6-3d762c9072a5,de,01.03.2025
Energy Refractor,BRO,The Brothers' War,234,normal,common,1,75783,cc2a81fb-5045-4b7b-8cfb-b90c4f4a1f51,de,01.03.2025
Scrapwork Rager,BRO,The Brothers' War,123,normal,common,1,75845,e28de770-7975-4aa9-b656-e7dbe6bff290,de,01.03.2025
Weakstone's Subjugation,BRO,The Brothers' War,72,normal,common,2,75880,ef93ac79-8575-40f8-a222-63c2ffb30f60,de,01.03.2025
Fallaji Chaindancer,BRO,The Brothers' War,134,normal,common,1,75443,4dc2da75-160d-47f9-b978-e153262ec1fc,de,01.03.2025
