Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Temporal Cleansing,MOM,March of the Machine,80,normal,common,1,81381,6e67031a-8216-4c66-b6fb-6628bd02d279,en,05.09.2025
Cut Short,MOM,March of the Machine,10,normal,common,1,81433,b0a45d4d-d16a-43c6-843c-916d4629aae1,en,05.09.2025
Marshal of Zhalfir,MOM,March of the Machine,246,normal,uncommon,1,81218,c2418f5c-a85f-4249-8a53-c94b011b9714,en,05.09.2025
"Invasion of Kaladesh // Aetherwing, Golden-Scale Flagship",MOM,March of the Machine,234,normal,uncommon,1,81075,4f7231f6-8adc-4a68-9984-e56b974c087b,en,05.09.2025
Zhalfirin Lancer,MOM,March of the Machine,45,normal,uncommon,1,81031,277e5b49-c53f-4bf7-aac0-950d8708b957,en,05.09.2025
Phyrexian Pegasus,MOM,March of the Machine,324,normal,common,1,81190,aa1200a1-8671-464f-ab3b-bfc1fb0d6ed8,en,05.09.2025
Hidetsugu and Kairi,MOM,March of the Machine,309,normal,rare,1,81120,76dd881d-6e12-4c90-a198-1d7ec61924b6,en,05.09.2025
"Kwende, Pride of Femeref",MUL,Multiverse Legends,5,normal,uncommon,1,81633,427cf253-71c1-40cf-bdc3-eeb0431ae37f,en,05.09.2025
Stitch Together,C18,Commander 2018,119,normal,uncommon,1,724,8423c98d-4cb6-4a70-8bf2-3ac24c025c4e,en,05.09.2025
Merciless Repurposing,MOM,March of the Machine,117,normal,uncommon,1,81110,70edec35-1770-47f0-9ad2-32e597ee0327,en,05.09.2025
Hoarding Broodlord,MOM,March of the Machine,110,normal,rare,1,81053,386ce3c9-869d-461c-a3de-c8add3786f73,en,05.09.2025
Dismal Backwater,MOM,March of the Machine,269,normal,common,1,80439,33cd4f63-3484-4cee-8603-1f89cabee6c3,en,05.09.2025
Negate,MOM,March of the Machine,68,normal,common,1,81138,81752db1-374e-4723-b695-a2f4a634dfc6,en,05.09.2025
Stasis Field,MOM,March of the Machine,79,normal,common,1,81329,38211d78-ebac-4150-ac11-7613a0e9e1bc,en,05.09.2025
Scorn-Blade Berserker,MOM,March of the Machine,124,normal,uncommon,1,81389,792e7386-4c2d-4fa9-b499-fa3681f2a50e,en,05.09.2025
Streetwise Negotiator,MOM,March of the Machine,207,normal,uncommon,1,81256,e83f9565-4c04-449d-b337-0eff3fd0c295,en,05.09.2025
Ephara's Dispersal,MKC,Murders at Karlov Manor Commander,103,normal,common,1,90493,b622aad1-4f57-472e-9bd8-9404da88d6be,en,05.09.2025
Invasion of Regatha // Disciples of the Inferno,MOM,March of the Machine,148,normal,uncommon,1,81196,ada79e04-bb69-4c92-a829-014f02b1e06a,en,05.09.2025
Zephyr Winder,MOM,March of the Machine,328,normal,common,1,81011,14456a8e-016c-4407-8410-c490db3f5ea9,en,05.09.2025
Trailblazing Historian,MOM,March of the Machine,168,normal,common,1,81428,a53088da-25b5-4c7e-9a11-456fbc814dfc,en,05.09.2025
