Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Bagel and Schmear,SPM,Marvel's Spider-Man,161,normal,common,1,108544,7f927f72-fc9b-444f-9e0e-78a5e8e7bcaa,de,01.10.2025
Skyward Spider,SPM,Marvel's Spider-Man,146,normal,common,1,108599,f5cbb580-cd02-4c60-acb7-b7ed1f1fce59,de,01.10.2025
Taxi Driver,SPM,Marvel's Spider-Man,97,normal,common,1,107663,a80d3ed9-5e81-41b7-bb74-ab86cba841c8,de,01.10.2025
Rhino's Rampage,SPM,Marvel's Spider-Man,141,normal,uncommon,1,108601,f668817c-1cab-44c5-b6a8-95113e480d5e,de,01.10.2025
Oscorp Research Team,SPM,Marvel's Spider-Man,40,normal,common,1,107662,a800ffb4-0c48-41eb-b221-cf1d855131d9,de,01.10.2025
"Starling, Aerial Ally",SPM,Marvel's Spider-Man,18,normal,common,1,107667,babbf53d-3e10-4110-8725-91f766c8cdad,de,01.10.2025
"Spiders-Man, Heroic Horde",SPM,Marvel's Spider-Man,117,normal,uncommon,1,108487,1183262e-1f02-46b3-8cfa-fe30e0016c11,de,01.10.2025
"Spider-Ham, Peter Porker",SPM,Marvel's Spider-Man,114,normal,rare,1,107629,41f18f42-b86b-4a12-9f0d-76b761571195,de,01.10.2025
Professional Wrestler,SPM,Marvel's Spider-Man,110,normal,common,1,108548,8a5381e7-ddda-47e7-886d-812250ffb745,de,01.10.2025
Kapow!,SPM,Marvel's Spider-Man,103,normal,common,1,107674,cec575f6-43c9-41c6-a996-bb806bf82185,de,01.10.2025
"Venom, Evil Unleashed",SPM,Marvel's Spider-Man,71,normal,common,1,107664,ab3d51a4-40f0-4606-b5f9-2686c12fd54b,de,01.10.2025
City Pigeon,SPM,Marvel's Spider-Man,4,normal,common,1,108442,56d67fb4-5b23-432c-9ffb-39545035c117,de,01.10.2025
Amazing Acrobatics,SPM,Marvel's Spider-Man,25,normal,common,1,108554,9a2f6d84-3d83-4f48-9906-11f681171930,de,01.10.2025
Pumpkin Bombardment,SPM,Marvel's Spider-Man,139,normal,common,1,108559,a268ad73-9a1f-47d9-9a85-a4669a769c3d,de,01.10.2025
