Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Kin-Tree Nurturer,TDM,Tarkir: Dragonstorm,83,normal,common,1,105124,2177ef64-28bf-4acf-b1f1-c1408f03c411,de,05.04.2025
Devoted Duelist,TDM,Tarkir: Dragonstorm,104,normal,common,1,104354,bbf9c673-37b4-48ed-a9ea-13f8e3e6c47b,de,05.04.2025
Krotiq Nestguard,TDM,Tarkir: Dragonstorm,148,normal,common,1,104862,a5d0a9fb-1068-478d-a78c-6fd77cc313f0,de,05.04.2025
Stormplain Detainment,TDM,Tarkir: Dragonstorm,28,normal,common,1,104135,39f3aab5-7b54-4b55-8114-c6f9f79c255d,de,05.04.2025
Focus the Mind,TDM,Tarkir: Dragonstorm,45,normal,common,1,105153,abb0ba34-6904-4c17-a04d-ea4f12c7cf21,de,05.04.2025
Embermouth Sentinel,TDM,Tarkir: Dragonstorm,242,normal,common,1,104606,485f75d5-da5b-4605-885a-561ccd999cc6,de,05.04.2025
Wingspan Stride,TDM,Tarkir: Dragonstorm,66,normal,common,1,104541,339a0e24-c332-4558-bb60-f5504ddde88c,de,05.04.2025
Host of the Hereafter,TDM,Tarkir: Dragonstorm,193,normal,uncommon,1,104448,0f182957-8133-45a7-80a3-1944bead4d43,de,05.04.2025
Nomad Outpost,TDM,Tarkir: Dragonstorm,263,normal,uncommon,1,104868,a68fbeaa-941f-4d53-becd-f93ed22b9a54,de,05.04.2025
Veteran Ice Climber,TDM,Tarkir: Dragonstorm,64,normal,uncommon,1,105162,bcccfd7b-2846-4552-a89a-2b868bc9ab20,de,05.04.2025
Rainveil Rejuvenator,TDM,Tarkir: Dragonstorm,152,normal,uncommon,1,105148,9bc5c316-6a41-48ba-864b-da3030dd3e0e,de,05.04.2025
Flamehold Grappler,TDM,Tarkir: Dragonstorm,185,normal,rare,1,104958,cc8443a6-282f-4218-9dc8-144b5570d891,de,05.04.2025
Aggressive Negotiations,TDM,Tarkir: Dragonstorm,70,normal,common,1,105146,993ade84-031f-4a3e-bd68-55f61b559248,de,05.04.2025
Dragon's Prey,TDM,Tarkir: Dragonstorm,79,normal,common,1,104754,7a6004ff-4180-4332-8b51-960f8c7521d9,de,05.04.2025
Jeskai Devotee,TDM,Tarkir: Dragonstorm,110,normal,common,1,104257,27f31f9c-7149-4608-9b18-b3530a2efd4a,de,05.04.2025
Piercing Exhale,TDM,Tarkir: Dragonstorm,151,normal,common,1,104891,b2a0deb9-5bc3-42d5-9e1e-5f463d176aef,de,05.04.2025
Coordinated Maneuver,TDM,Tarkir: Dragonstorm,6,normal,common,1,104941,c6569487-53c5-4b91-877d-e4e31bfa90c0,de,05.04.2025
Sibsig Appraiser,TDM,Tarkir: Dragonstorm,56,normal,common,1,105135,670c5b96-bac6-449b-a2bd-cb43750d3911,de,05.04.2025
Jade-Cast Sentinel,TDM,Tarkir: Dragonstorm,243,normal,common,1,104293,516ce5fa-bd00-429b-ba22-b38c7dd9306c,de,05.04.2025
Reputable Merchant,TDM,Tarkir: Dragonstorm,217,normal,common,1,105157,b7d0591e-7fb7-40ea-ba2a-cfe544d40216,de,05.04.2025
Twinmaw Stormbrood // Charring Bite,TDM,Tarkir: Dragonstorm,232,normal,uncommon,1,104513,2999e3b1-6510-42b2-9429-28c07a64a44f,de,05.04.2025
Gurmag Rakshasa,TDM,Tarkir: Dragonstorm,81,normal,uncommon,1,105173,f05ad909-8860-473b-9a30-a322f7670b32,de,05.04.2025
War Effort,TDM,Tarkir: Dragonstorm,131,normal,uncommon,1,105007,dd7f0413-c009-4c08-b877-9c1b776cbf26,de,05.04.2025
Nature's Rhythm,TDM,Tarkir: Dragonstorm,150,normal,rare,1,104460,1397d904-c51d-451e-8505-7f3118acc1f6,de,05.04.2025
Dragonologist,TDM,Tarkir: Dragonstorm,295,normal,rare,1,104821,97e8d7d3-7e80-4742-9951-eb6679a0aa66,de,05.04.2025
Descendant of Storms,TDM,Tarkir: Dragonstorm,8,normal,uncommon,1,105056,f632be90-9e7f-41f8-a52e-a2952354d730,de,05.04.2025
Sandskitter Outrider,TDM,Tarkir: Dragonstorm,89,normal,common,1,105122,1c4bfebe-f10f-44bd-9368-33e273ba5a55,de,05.04.2025
Meticulous Artisan,TDM,Tarkir: Dragonstorm,112,normal,common,1,104912,baf4c9dd-0546-41ac-a7ba-0bc312fef31e,de,05.04.2025
Undergrowth Leopard,TDM,Tarkir: Dragonstorm,165,normal,common,1,104307,67ab8f9a-b17c-452f-b4ef-a3f91909e3de,de,05.04.2025
Iceridge Serpent,TDM,Tarkir: Dragonstorm,49,normal,common,1,105167,d13f117b-b8e4-48db-8ce9-5da9c7ce23a5,de,05.04.2025
Reigning Victor,TDM,Tarkir: Dragonstorm,216,normal,common,1,104334,a394112a-032b-4047-887a-6522cf7b83d5,de,05.04.2025
Highspire Bell-Ringer,TDM,Tarkir: Dragonstorm,47,normal,common,1,105020,e75dccf7-2894-4c4a-b516-3eee73acddd3,de,05.04.2025
Yathan Tombguard,TDM,Tarkir: Dragonstorm,100,normal,uncommon,1,104330,9e65d487-705a-4c3b-9bb6-69351e5dae81,de,05.04.2025
Mammoth Bellow,TDM,Tarkir: Dragonstorm,205,normal,uncommon,1,104599,468b17b4-79ce-4dfa-8873-a9cfc347e38f,de,05.04.2025
Aegis Sculptor,TDM,Tarkir: Dragonstorm,35,normal,uncommon,1,104248,19c1417a-9719-46f6-8749-d92b93ce0529,de,05.04.2025
Static Snare,TDM,Tarkir: Dragonstorm,26,normal,uncommon,1,104478,1ce50932-03a6-48bc-8aee-bc8defd896cf,de,05.04.2025
"Narset, Jeskai Waymaster",TDM,Tarkir: Dragonstorm,209,normal,rare,1,103995,6b77cbc1-dbc8-44d9-aa29-15cbb19afecd,de,05.04.2025
Dirgur Island Dragon // Skimming Strike,TDM,Tarkir: Dragonstorm,40,normal,common,1,104342,b1d21a9a-6b0c-4fbc-a427-81be885d326b,de,05.04.2025
Wild Ride,TDM,Tarkir: Dragonstorm,132,normal,common,1,105154,abc8c6f5-6135-428e-8476-1751f82623f9,de,05.04.2025
Sagu Wildling // Roost Seek,TDM,Tarkir: Dragonstorm,157,normal,common,1,104994,d8b43b00-f4d1-436c-bf3f-6d414cd4ce38,de,05.04.2025
Osseous Exhale,TDM,Tarkir: Dragonstorm,17,normal,common,1,104493,2300da2f-2297-4c2f-90c1-11ce2b42d91f,de,05.04.2025
Agent of Kotis,TDM,Tarkir: Dragonstorm,36,normal,common,1,104318,812d0462-0158-467f-951d-a7a121188a10,de,05.04.2025
Summit Intimidator,TDM,Tarkir: Dragonstorm,125,normal,common,1,104373,e3cba0b1-7c22-4e51-b9cf-5bf01e67a222,de,05.04.2025
Armament Dragon,TDM,Tarkir: Dragonstorm,168,normal,uncommon,1,104469,17f61c01-0a41-4fa1-ac34-ffa83baad989,de,05.04.2025
Rite of Renewal,TDM,Tarkir: Dragonstorm,153,normal,uncommon,1,104390,f737698a-d934-4851-b238-828959ef4835,de,05.04.2025
Wingblade Disciple,TDM,Tarkir: Dragonstorm,65,normal,uncommon,1,105138,71de7dca-0231-4407-86a0-c7fc95f5aaa0,de,05.04.2025
Dragonfire Blade,TDM,Tarkir: Dragonstorm,240,normal,rare,1,104427,031afea3-fbfb-4663-a8cc-9b7eb7b16020,de,05.04.2025
"Anafenza, Unyielding Lineage",TDM,Tarkir: Dragonstorm,327,normal,rare,1,104356,c0f31696-2307-4ec6-a568-c255a25b59b6,de,05.04.2025
Swiftwater Cliffs,TDM,Tarkir: Dragonstorm,268,normal,common,1,104361,ca53fb19-b8ca-485b-af1a-5117ae54bfe3,de,05.04.2025
Elephant,TTDM,Tarkir: Dragonstorm Tokens,14,normal,common,1,105125,243bcfa9-0310-4d68-9864-df46069906fa,de,05.04.2025
Treasure,TTDM,Tarkir: Dragonstorm Tokens,16,normal,common,1,104831,9c8f66e1-4eab-4d51-b10e-9cedd607d709,de,05.04.2025
Spirit,TTDM,Tarkir: Dragonstorm Tokens,6,normal,common,1,105175,f22410b3-5c0b-4282-9b0b-5ba61229b6e7,de,05.04.2025
Spirit,TTDM,Tarkir: Dragonstorm Tokens,7,normal,common,1,105158,b83a7343-9f5f-4b79-8929-c84011de401c,de,05.04.2025
Soldier,TTDM,Tarkir: Dragonstorm Tokens,4,normal,common,1,104692,6455d903-6996-448f-9148-9068febecb00,de,05.04.2025
Soldier,TTDM,Tarkir: Dragonstorm Tokens,5,normal,common,1,105141,7ddd5153-2d16-4a4e-b9bc-f20313d322da,de,05.04.2025
Arashin Sunshield,TDM,Tarkir: Dragonstorm,3,normal,common,2,105168,dd7102d8-90b3-45a1-b66d-dcca469b1fb6,de,05.04.2025
Abzan Devotee,TDM,Tarkir: Dragonstorm,68,normal,common,2,104305,66555946-e747-46fa-b1ac-b103a8edcd93,de,05.04.2025
Bloodfell Caves,TDM,Tarkir: Dragonstorm,250,normal,common,2,104250,1dde3c68-6f29-4c00-b668-c25ac9e3e13b,de,05.04.2025
