Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Plains,BRO,The Brothers' War,268,normal,common,4,75340,22de1edc-ec67-4694-ab88-2a679c8a450f,de,01.03.2025
Island,BRO,The Brothers' War,270,normal,common,4,75879,eee75629-86b4-40b0-884a-22646ebf6e27,de,01.03.2025
Swamp,BRO,The Brothers' War,272,normal,common,3,75325,1c90f777-2f98-4010-80a3-5fe395747e5f,de,01.03.2025
Despark,DRC,Aetherdrift Commander,115,normal,uncommon,1,103140,8555d8c1-ef77-4471-8fbf-22bb16d0f040,de,01.03.2025
"Armix, Filigree Thrasher",CMR,Commander Legends,108,normal,uncommon,1,55910,d5f69e24-6b5c-4a9a-af5b-1ce88efdc0aa,de,01.03.2025
Whirler Rogue,DRC,Aetherdrift Commander,85,normal,uncommon,1,103000,3f2ddb63-e4d0-418e-9ec7-70add0ed06a8,de,01.03.2025
Steel Hellkite,FDN,Foundations,681,normal,rare,1,100838,931ad21b-a6bb-4a89-8d6f-80adfcf126c7,de,01.03.2025
Solemn Simulacrum,DSC,Duskmourn: House of Horror Commander,253,normal,rare,1,99255,916e0c89-5614-4022-b095-9c714c476d13,de,01.03.2025
Myr Battlesphere,M3C,Modern Horizons 3 Commander,301,normal,rare,1,94791,a04ed861-56dc-4b7f-aa62-f6232ecc1ef7,de,01.03.2025
Etched Champion,MM2,Modern Masters 2015,209,normal,rare,1,11008,30fe653b-956a-4e0e-981b-37e1a6b08c2c,de,01.03.2025
Darksteel Juggernaut,C18,Commander 2018,202,normal,rare,1,641,22c4148a-477d-419e-8d6b-5d558048e0db,de,01.03.2025
Vindicate,BRC,The Brothers' War Commander,131,normal,rare,1,75848,e311f87d-a0ed-473a-9bab-282c13e63ea9,de,01.03.2025
Sharuum the Hegemon,2XM,Double Masters,219,normal,rare,1,51990,af80ef38-ab95-476f-b0dd-b5ef3e9bceab,de,01.03.2025
Baleful Strix,OTC,Outlaws of Thunder Junction Commander,215,normal,rare,1,93828,be8439e6-f779-49f0-806a-b04995697a6a,de,01.03.2025
Marionette Master,AFC,Forgotten Realms Commander,102,normal,rare,1,60885,dd21a925-c76f-4c1d-b5b8-8d3352730e5f,de,01.03.2025
Vedalken Humiliator,MOC,March of the Machine Commander,243,normal,rare,1,81669,51b14afb-5603-49af-b545-1277341775ae,de,01.03.2025
Thought Monitor,MKC,Murders at Karlov Manor Commander,121,normal,rare,1,90559,e3a7560e-9e75-4abd-a45c-c2c9686ee4b0,de,01.03.2025
"Sai, Master Thopterist",DRC,Aetherdrift Commander,82,normal,rare,1,103308,dea200c8-6da5-4938-8b76-cc693e03de29,de,01.03.2025
Thopter Spy Network,DRC,Aetherdrift Commander,83,normal,rare,1,103281,d0adecc7-21fe-41b1-a0bd-58f98970e283,de,01.03.2025
Shimmer Dragon,MKC,Murders at Karlov Manor Commander,117,normal,rare,1,90323,3983a11e-8a8a-4d9d-868b-13e0c3719abb,de,01.03.2025
Sharding Sphinx,MOC,March of the Machine Commander,235,normal,rare,1,81547,1d93d905-cc36-4a78-b07c-07f8bbf39a47,de,01.03.2025
Master of Etherium,MOC,March of the Machine Commander,226,normal,rare,1,81622,3efa70d4-d58c-4a43-bc4e-ffa9a91b0e5e,de,01.03.2025
Bident of Thassa,BLC,Bloomburrow Commander,162,normal,rare,1,96314,60a9018a-24a9-4c25-89ca-4ac52a60fbf1,de,01.03.2025
Urza's Ruinous Blast,CMM,Commander Masters,842,normal,rare,1,84505,76b10977-64eb-4a50-a481-d67cc2950f56,de,01.03.2025
Unbreakable Formation,RVR,Ravnica Remastered,32,normal,rare,1,89534,06e1cc7b-9319-4f6f-88ee-2e6b6d2efbc6,de,01.03.2025
